Date_Time,Q_recorded,Q_predicted_2,Q_abs_diff,Q_rel_diff,Q_diff,Q_sqr_diff,Q_sqr_rel_diff,Q_var_rec,Q_sqr_var_rec,Q_var_pre,Q_sqr_var_pre,Q_prod_var_rec_pre,delta_time,Q_rec_lft,Q_rec_rgt,Q_pre_lft,Q_pre_rgt,Q_ave_rec,Q_ave_pre
1997-10-07 08:37:00,0.078,0.001,0.077,0.9871794871794871,-0.077,0.005929,0.9745233399079551,-0.5853047210300429,0.3425816164600564,-0.7797510729613735,0.6080117357844131,0.45639198423253335,,,,,,,
1997-10-07 08:42:00,0.078,0.01,0.068,0.8717948717948718,-0.068,0.0046240000000000005,0.760026298487837,-0.5853047210300429,0.3425816164600564,-0.7707510729613735,0.5940572164711084,0.451124241743263,300.0,0.078,0.078,0.001,0.01,23.4,1.65
1997-10-07 08:47:00,0.078,0.012,0.066,0.8461538461538461,-0.066,0.0043560000000000005,0.7159763313609467,-0.5853047210300429,0.3425816164600564,-0.7687510729613735,0.5909782121792629,0.4499536323012029,300.0,0.078,0.078,0.01,0.012,23.4,3.3
1997-10-07 08:52:00,0.13,0.029,0.101,0.7769230769230769,-0.101,0.010201000000000002,0.6036094674556213,-0.5333047210300429,0.28441392547293187,-0.7517510729613734,0.5651296756985762,0.4009123962497007,300.0,0.078,0.13,0.012,0.029,31.200000000000003,6.15
1997-10-07 08:57:00,0.323,0.159,0.164,0.5077399380804953,-0.164,0.026896000000000003,0.25779984472198525,-0.3403047210300429,0.11580730315533531,-0.6217510729613734,0.3865743967286191,0.21158482543425003,300.0,0.13,0.323,0.029,0.159,67.95,28.2
1997-10-07 09:02:00,0.496,0.263,0.23299999999999998,0.469758064516129,-0.23299999999999998,0.05428899999999999,0.2206726391779396,-0.1673047210300429,0.02799086967894048,-0.5177510729613735,0.26806617355265344,0.08662219882480797,300.0,0.323,0.496,0.159,0.263,122.85,63.300000000000004
1997-10-07 09:07:00,0.422,0.302,0.12,0.2843601895734597,-0.12,0.0144,0.08086071741425395,-0.2413047210300429,0.05822796839138684,-0.4787510729613735,0.22920258986166636,0.11552489410377795,300.0,0.496,0.422,0.263,0.302,137.7,84.74999999999999
1997-10-07 09:12:00,0.386,0.332,0.05399999999999999,0.1398963730569948,-0.05399999999999999,0.0029159999999999993,0.019570995194501856,-0.2773047210300429,0.0768979083055499,-0.44875107296137345,0.2013775254839839,0.1244407910994861,300.0,0.422,0.386,0.302,0.332,121.2,95.1
1997-10-07 09:17:00,0.422,0.395,0.02699999999999997,0.06398104265402836,-0.02699999999999997,0.0007289999999999983,0.004093573819096597,-0.2413047210300429,0.05822796839138684,-0.38575107296137345,0.14880389029085087,0.09308355504798395,300.0,0.386,0.422,0.332,0.395,121.2,109.05000000000001
1997-10-07 09:22:00,0.499,0.506,0.007000000000000006,0.014028056112224461,0.007000000000000006,4.9000000000000087e-05,0.00019678635828771805,-0.1643047210300429,0.026996041352760222,-0.27475107296137347,0.07548815209342596,0.04514289839562343,300.0,0.422,0.499,0.395,0.506,138.15,135.15
