Date_Time,Q_recorded,Q_predicted_4,Q_abs_diff,Q_rel_diff
1985-10-23 13:05:00,0.028,0.0,0.028,1.0
1985-10-23 13:10:00,0.028,0.0,0.028,1.0
1985-10-23 13:15:00,0.028,0.0,0.028,1.0
1985-10-23 13:20:00,0.028,0.0,0.028,1.0
1985-10-23 13:25:00,0.028,0.0,0.028,1.0
1985-10-23 13:30:00,0.029,0.0,0.029,1.0
1985-10-23 13:35:00,0.029,0.0,0.029,1.0
1985-10-23 13:40:00,0.029,0.0,0.029,1.0
1985-10-23 13:45:00,0.029,0.001,0.028,0.9655172413793103
1985-10-23 13:50:00,0.029,0.007,0.022000000000000002,0.7586206896551725
1985-10-23 13:55:00,0.041,0.015,0.026000000000000002,0.6341463414634146
1985-10-23 14:00:00,0.305,0.041,0.264,0.8655737704918033
1985-10-23 14:05:00,1.497,0.262,1.235,0.8249832999331997
1985-10-23 14:10:00,1.682,0.801,0.8809999999999999,0.5237812128418549
1985-10-23 14:15:00,0.885,0.838,0.04700000000000004,0.05310734463276841
1985-10-23 14:20:00,0.492,0.679,0.18700000000000006,0.3800813008130082
1985-10-23 14:25:00,0.269,0.535,0.266,0.9888475836431226
1985-10-23 14:30:00,0.166,0.428,0.262,1.5783132530120483
1985-10-23 14:35:00,0.107,0.347,0.24,2.2429906542056073
1985-10-23 14:40:00,0.078,0.285,0.20699999999999996,2.6538461538461533
1985-10-23 14:45:00,0.044,0.237,0.193,4.386363636363637
1985-10-23 14:50:00,0.039,0.201,0.162,4.153846153846154
1985-10-23 14:55:00,0.036,0.171,0.135,3.7500000000000004
1985-10-23 15:00:00,0.035,0.147,0.11199999999999999,3.1999999999999993
1985-10-23 15:05:00,0.035,0.127,0.092,2.628571428571428
1985-10-23 15:10:00,0.034,0.111,0.077,2.264705882352941
1985-10-23 15:15:00,0.039,0.097,0.058,1.4871794871794872
1985-10-23 15:20:00,0.029,0.085,0.05600000000000001,1.9310344827586208
1985-10-23 15:25:00,0.028,0.075,0.047,1.6785714285714286
1985-10-23 15:30:00,0.028,0.066,0.038000000000000006,1.3571428571428574
1985-10-23 15:35:00,0.028,0.058,0.030000000000000002,1.0714285714285714
1985-10-23 15:40:00,0.028,0.052,0.023999999999999997,0.857142857142857
1985-10-23 15:45:00,0.028,0.046,0.018,0.6428571428571428
1985-10-23 15:50:00,0.028,0.041,0.013000000000000001,0.4642857142857143
1985-10-23 15:55:00,0.028,0.036,0.007999999999999997,0.2857142857142856
1985-10-23 16:00:00,0.028,0.032,0.004,0.14285714285714285
1985-10-23 16:05:00,0.028,0.029,0.0010000000000000009,0.03571428571428575
