Date_Time,Q_recorded,Q_predicted_1,Q_diff,Q_rel_diff,Q_sqr_rel_diff
1997-10-07 08:37:00,0.078,0.0,-0.078,-1.0,1.0
1997-10-07 08:42:00,0.078,0.006,-0.072,-0.923076923076923,0.8520710059171597
1997-10-07 08:47:00,0.078,0.01,-0.068,-0.8717948717948718,0.760026298487837
1997-10-07 08:52:00,0.13,0.013,-0.117,-0.9,0.81
1997-10-07 08:57:00,0.323,0.026,-0.297,-0.9195046439628483,0.8454887902692443
1997-10-07 09:02:00,0.496,0.133,-0.363,-0.7318548387096774,0.5356115049427679
1997-10-07 09:07:00,0.422,0.216,-0.206,-0.4881516587677725,0.2382920419577278
1997-10-07 09:12:00,0.386,0.24,-0.14600000000000002,-0.37823834196891193,0.14306424333539156
1997-10-07 09:17:00,0.422,0.27,-0.15199999999999997,-0.3601895734597156,0.12973652882909184
1997-10-07 09:22:00,0.499,0.326,-0.173,-0.34669338677354705,0.1201963044325123
1997-10-07 09:27:00,0.504,0.392,-0.11199999999999999,-0.2222222222222222,0.04938271604938271
1997-10-07 09:32:00,0.438,0.403,-0.034999999999999976,-0.0799086757990867,0.006385396467963544
1997-10-07 09:37:00,0.344,0.368,0.02400000000000002,0.06976744186046518,0.00486749594375339
1997-10-07 09:42:00,0.265,0.321,0.055999999999999994,0.2113207547169811,0.044656461374154494
1997-10-07 09:47:00,0.198,0.287,0.08899999999999997,0.44949494949494934,0.20204570962146706
1997-10-07 09:52:00,0.157,0.262,0.10500000000000001,0.6687898089171975,0.44727980851150156
1997-10-07 09:57:00,0.121,0.237,0.11599999999999999,0.9586776859504131,0.919062905539239
1997-10-07 10:02:00,0.097,0.203,0.10600000000000001,1.0927835051546393,1.1941757891380596
1997-10-07 10:07:00,0.083,0.179,0.09599999999999999,1.1566265060240961,1.3377848744375085
1997-10-07 10:12:00,0.078,0.167,0.08900000000000001,1.1410256410256412,1.3019395134779754
1997-10-07 10:17:00,0.078,0.164,0.08600000000000001,1.1025641025641026,1.215647600262985
1997-10-07 10:22:00,0.078,0.159,0.081,1.0384615384615385,1.0784023668639056
1997-10-07 10:27:00,0.078,0.154,0.076,0.9743589743589743,0.9493754109138725
1997-10-07 10:32:00,0.078,0.156,0.078,1.0,1.0
1997-10-07 10:37:00,0.102,0.198,0.09600000000000002,0.9411764705882355,0.8858131487889277
1997-10-07 10:42:00,0.22,0.297,0.07699999999999999,0.3499999999999999,0.12249999999999994
1997-10-07 10:47:00,0.366,0.456,0.09000000000000002,0.24590163934426237,0.06046761623219569
1997-10-07 10:52:00,0.496,0.617,0.121,0.2439516129032258,0.05951238943808533
1997-10-07 10:57:00,0.58,0.787,0.20700000000000007,0.3568965517241381,0.12737514863258037
1997-10-07 11:02:00,0.695,0.945,0.25,0.3597122302158274,0.1293928885668444
1997-10-07 11:07:00,0.81,1.099,0.2889999999999999,0.35679012345679,0.12729919219631144
1997-10-07 11:12:00,0.922,1.315,0.3929999999999999,0.42624728850325366,0.18168675095637596
1997-10-07 11:17:00,0.998,1.453,0.45500000000000007,0.45591182364729466,0.2078555909414019
1997-10-07 11:22:00,0.928,1.322,0.394,0.4245689655172414,0.1802588064803805
1997-10-07 11:27:00,0.718,1.15,0.43199999999999994,0.6016713091922005,0.3620083643050565
1997-10-07 11:32:00,0.54,1.033,0.4929999999999999,0.9129629629629626,0.8335013717421119
1997-10-07 11:37:00,0.443,0.951,0.508,1.146726862302483,1.3149824967260981
1997-10-07 11:42:00,0.371,0.893,0.522,1.4070080862533694,1.979671754782369
1997-10-07 11:47:00,0.366,0.88,0.514,1.4043715846994536,1.9722595479112544
1997-10-07 11:52:00,0.443,0.918,0.47500000000000003,1.072234762979684,1.1496873869420992
1997-10-07 11:57:00,0.559,0.956,0.3969999999999999,0.7101967799642216,0.504379466271549
1997-10-07 12:02:00,0.695,1.057,0.362,0.520863309352518,0.27129858702965687
1997-10-07 12:07:00,0.845,1.293,0.44799999999999995,0.5301775147928993,0.281088197191975
1997-10-07 12:12:00,0.941,1.496,0.555,0.5897980871413391,0.3478617835955826
1997-10-07 12:17:00,1.033,1.57,0.5370000000000001,0.5198451113262345,0.2702389397697851
1997-10-07 12:22:00,1.152,1.736,0.5840000000000001,0.5069444444444445,0.2569926697530865
1997-10-07 12:27:00,1.36,2.059,0.6990000000000001,0.5139705882352942,0.2641657655709343
1997-10-07 12:32:00,1.65,2.331,0.681,0.4127272727272728,0.1703438016528926
1997-10-07 12:37:00,1.738,2.436,0.698,0.4016110471806674,0.16129143321755227
