Date_Time,Q_recorded,Q_predicted_1,Q_predicted_2,Q_predicted_3,Q_predicted_4
1985-10-23 13:05:00,0.028,0.0,0.0,0.0,0.0
1985-10-23 13:10:00,0.028,0.0,0.0,0.0,0.0
1985-10-23 13:15:00,0.028,0.0,0.0,0.0,0.0
1985-10-23 13:20:00,0.028,0.0,0.0,0.0,0.0
1985-10-23 13:25:00,0.028,0.0,0.0,0.0,0.0
1985-10-23 13:30:00,0.029,0.0,0.0,0.0,0.0
1985-10-23 13:35:00,0.029,0.0,0.0,0.0,0.0
1985-10-23 13:40:00,0.029,0.0,0.0,0.0,0.0
1985-10-23 13:45:00,0.029,0.0,0.003,0.003,0.001
1985-10-23 13:50:00,0.029,0.002,0.008,0.008,0.007
1985-10-23 13:55:00,0.041,0.003,0.021,0.028,0.015
1985-10-23 14:00:00,0.305,0.159,0.13,0.21,0.041
1985-10-23 14:05:00,1.497,0.681,0.677,0.605,0.262
1985-10-23 14:10:00,1.682,1.161,1.108,1.072,0.801
1985-10-23 14:15:00,0.885,1.07,0.906,0.952,0.838
1985-10-23 14:20:00,0.492,0.828,0.654,0.727,0.679
1985-10-23 14:25:00,0.269,0.637,0.477,0.561,0.535
1985-10-23 14:30:00,0.166,0.496,0.356,0.443,0.428
1985-10-23 14:35:00,0.107,0.392,0.273,0.358,0.347
1985-10-23 14:40:00,0.078,0.316,0.214,0.295,0.285
1985-10-23 14:45:00,0.044,0.259,0.171,0.247,0.237
1985-10-23 14:50:00,0.039,0.215,0.139,0.21,0.201
1985-10-23 14:55:00,0.036,0.181,0.114,0.181,0.171
1985-10-23 15:00:00,0.035,0.153,0.095,0.156,0.147
1985-10-23 15:05:00,0.035,0.13,0.08,0.136,0.127
1985-10-23 15:10:00,0.034,0.112,0.067,0.12,0.111
1985-10-23 15:15:00,0.039,0.097,0.057,0.106,0.097
1985-10-23 15:20:00,0.029,0.084,0.049,0.094,0.085
1985-10-23 15:25:00,0.028,0.073,0.042,0.083,0.075
1985-10-23 15:30:00,0.028,0.064,0.037,0.074,0.066
1985-10-23 15:35:00,0.028,0.056,0.032,0.067,0.058
1985-10-23 15:40:00,0.028,0.049,0.028,0.06,0.052
1985-10-23 15:45:00,0.028,0.043,0.024,0.054,0.046
1985-10-23 15:50:00,0.028,0.038,0.021,0.048,0.041
1985-10-23 15:55:00,0.028,0.033,0.019,0.044,0.036
1985-10-23 16:00:00,0.028,0.029,0.016,0.039,0.032
1985-10-23 16:05:00,0.028,0.026,0.014,0.036,0.029
1985-10-23 16:10:00,0.028,0.023,0.013,0.032,0.026
1985-10-23 16:15:00,0.028,0.02,0.011,0.029,0.023
1985-10-23 16:20:00,0.038,0.03,0.036,0.051,0.039
1985-10-23 16:25:00,0.76,1.252,0.895,1.165,0.594
1985-10-23 16:30:00,8.064,9.282,9.107,10.268,9.708
1985-10-23 16:35:00,11.89,11.6,7.524,9.666,9.819
1985-10-23 16:40:00,7.904,6.086,3.86,5.715,5.891
1985-10-23 16:45:00,3.0,3.572,2.152,3.668,3.699
1985-10-23 16:50:00,1.61,2.323,1.354,2.559,2.527
1985-10-23 16:55:00,0.857,1.603,0.92,1.884,1.807
1985-10-23 17:00:00,0.53,1.168,0.662,1.443,1.357
1985-10-23 17:05:00,0.366,0.884,0.493,1.144,1.055
1985-10-23 17:10:00,0.293,0.694,0.379,0.924,0.836
1985-10-23 17:15:00,0.24,0.552,0.298,0.759,0.682
1985-10-23 17:20:00,0.201,0.445,0.238,0.632,0.561
1985-10-23 17:25:00,0.172,0.366,0.194,0.533,0.468
1985-10-23 17:30:00,0.154,0.304,0.16,0.453,0.394
1985-10-23 17:35:00,0.136,0.255,0.134,0.389,0.335
1985-10-23 17:40:00,0.121,0.216,0.112,0.337,0.287
1985-10-23 17:45:00,0.117,0.185,0.095,0.294,0.248
1985-10-23 17:50:00,0.112,0.159,0.082,0.258,0.216
1985-10-23 17:55:00,0.107,0.138,0.07,0.228,0.189
1985-10-23 18:00:00,0.105,0.12,0.061,0.202,0.166
1985-10-23 18:05:00,0.102,0.105,0.053,0.18,0.146
1985-10-23 18:10:00,0.102,0.092,0.046,0.161,0.13
1985-10-23 18:15:00,0.102,0.081,0.041,0.144,0.116
1985-10-23 18:20:00,0.102,0.071,0.036,0.129,0.103
1985-10-23 18:25:00,0.102,0.063,0.031,0.116,0.092
1985-10-23 18:30:00,0.102,0.055,0.028,0.105,0.082
1985-10-23 18:35:00,0.102,0.049,0.024,0.094,0.073
1985-10-23 18:40:00,0.102,0.043,0.022,0.085,0.066
1985-10-23 18:45:00,0.102,0.038,0.019,0.077,0.059
1985-10-23 18:50:00,0.102,0.034,0.017,0.07,0.053
1985-10-23 18:55:00,0.102,0.03,0.015,0.064,0.048
1985-10-23 19:00:00,0.102,0.026,0.013,0.058,0.043
1985-10-23 19:05:00,0.102,0.023,0.012,0.053,0.039
1985-10-23 19:10:00,0.102,0.021,0.01,0.048,0.035
1985-10-23 19:15:00,0.102,0.018,0.009,0.044,0.031
1985-10-23 19:20:00,0.102,0.016,0.008,0.04,0.028
1985-10-23 19:25:00,0.102,0.015,0.007,0.037,0.026
1985-10-23 19:30:00,0.102,0.013,0.007,0.034,0.023
1985-10-23 19:35:00,0.1,0.011,0.006,0.031,0.021
1985-10-23 19:40:00,0.097,0.01,0.005,0.028,0.019
1985-10-23 19:45:00,0.097,0.009,0.005,0.026,0.017
1985-10-23 19:50:00,0.097,0.008,0.004,0.024,0.016
1985-10-23 19:55:00,0.098,0.007,0.004,0.022,0.014
