Date_Time,Q_recorded,Q_predicted_1,delta_time,Q_rec_lft,Q_rec_rgt,Q_pre_lft,Q_pre_rgt,Q_ave_rec,Q_ave_pre
1985-10-23 13:05:00,0.028,0.0,,,,,,,
1985-10-23 13:10:00,0.028,0.0,300.0,0.028,0.028,0.0,0.0,8.4,0.0
1985-10-23 13:15:00,0.028,0.0,300.0,0.028,0.028,0.0,0.0,8.4,0.0
1985-10-23 13:20:00,0.028,0.0,300.0,0.028,0.028,0.0,0.0,8.4,0.0
1985-10-23 13:25:00,0.028,0.0,300.0,0.028,0.028,0.0,0.0,8.4,0.0
1985-10-23 13:30:00,0.029,0.0,300.0,0.028,0.029,0.0,0.0,8.55,0.0
1985-10-23 13:35:00,0.029,0.0,300.0,0.029,0.029,0.0,0.0,8.700000000000001,0.0
1985-10-23 13:40:00,0.029,0.0,300.0,0.029,0.029,0.0,0.0,8.700000000000001,0.0
1985-10-23 13:45:00,0.029,0.0,300.0,0.029,0.029,0.0,0.0,8.700000000000001,0.0
1985-10-23 13:50:00,0.029,0.002,300.0,0.029,0.029,0.0,0.002,8.700000000000001,0.3
1985-10-23 13:55:00,0.041,0.003,300.0,0.029,0.041,0.002,0.003,10.500000000000002,0.75
1985-10-23 14:00:00,0.305,0.159,300.0,0.041,0.305,0.003,0.159,51.9,24.3
1985-10-23 14:05:00,1.497,0.681,300.0,0.305,1.497,0.159,0.681,270.3,126.00000000000001
1985-10-23 14:10:00,1.682,1.161,300.0,1.497,1.682,0.681,1.161,476.85,276.3
1985-10-23 14:15:00,0.885,1.07,300.0,1.682,0.885,1.161,1.07,385.05,334.65
1985-10-23 14:20:00,0.492,0.828,300.0,0.885,0.492,1.07,0.828,206.55,284.70000000000005
1985-10-23 14:25:00,0.269,0.637,300.0,0.492,0.269,0.828,0.637,114.15,219.74999999999997
1985-10-23 14:30:00,0.166,0.496,300.0,0.269,0.166,0.637,0.496,65.25000000000001,169.95
1985-10-23 14:35:00,0.107,0.392,300.0,0.166,0.107,0.496,0.392,40.95,133.2
1985-10-23 14:40:00,0.078,0.316,300.0,0.107,0.078,0.392,0.316,27.75,106.19999999999999
1985-10-23 14:45:00,0.044,0.259,300.0,0.078,0.044,0.316,0.259,18.3,86.25
1985-10-23 14:50:00,0.039,0.215,300.0,0.044,0.039,0.259,0.215,12.45,71.1
1985-10-23 14:55:00,0.036,0.181,300.0,0.039,0.036,0.215,0.181,11.25,59.400000000000006
1985-10-23 15:00:00,0.035,0.153,300.0,0.036,0.035,0.181,0.153,10.65,50.099999999999994
1985-10-23 15:05:00,0.035,0.13,300.0,0.035,0.035,0.153,0.13,10.500000000000002,42.45
1985-10-23 15:10:00,0.034,0.112,300.0,0.035,0.034,0.13,0.112,10.350000000000001,36.3
1985-10-23 15:15:00,0.039,0.097,300.0,0.034,0.039,0.112,0.097,10.950000000000001,31.35
1985-10-23 15:20:00,0.029,0.084,300.0,0.039,0.029,0.097,0.084,10.200000000000001,27.15
1985-10-23 15:25:00,0.028,0.073,300.0,0.029,0.028,0.084,0.073,8.55,23.55
1985-10-23 15:30:00,0.028,0.064,300.0,0.028,0.028,0.073,0.064,8.4,20.55
1985-10-23 15:35:00,0.028,0.056,300.0,0.028,0.028,0.064,0.056,8.4,18.0
1985-10-23 15:40:00,0.028,0.049,300.0,0.028,0.028,0.056,0.049,8.4,15.750000000000002
1985-10-23 15:45:00,0.028,0.043,300.0,0.028,0.028,0.049,0.043,8.4,13.799999999999999
1985-10-23 15:50:00,0.028,0.038,300.0,0.028,0.028,0.043,0.038,8.4,12.149999999999999
1985-10-23 15:55:00,0.028,0.033,300.0,0.028,0.028,0.038,0.033,8.4,10.65
1985-10-23 16:00:00,0.028,0.029,300.0,0.028,0.028,0.033,0.029,8.4,9.3
1985-10-23 16:05:00,0.028,0.026,300.0,0.028,0.028,0.029,0.026,8.4,8.25
1985-10-23 16:10:00,0.028,0.023,300.0,0.028,0.028,0.026,0.023,8.4,7.3500000000000005
1985-10-23 16:15:00,0.028,0.02,300.0,0.028,0.028,0.023,0.02,8.4,6.449999999999999
1985-10-23 16:20:00,0.038,0.03,300.0,0.028,0.038,0.02,0.03,9.9,7.5
1985-10-23 16:25:00,0.76,1.252,300.0,0.038,0.76,0.03,1.252,119.7,192.3
1985-10-23 16:30:00,8.064,9.282,300.0,0.76,8.064,1.252,9.282,1323.6,1580.1000000000001
1985-10-23 16:35:00,11.89,11.6,300.0,8.064,11.89,9.282,11.6,2993.1,3132.2999999999997
1985-10-23 16:40:00,7.904,6.086,300.0,11.89,7.904,11.6,6.086,2969.1,2652.9
1985-10-23 16:45:00,3.0,3.572,300.0,7.904,3.0,6.086,3.572,1635.6,1448.7000000000003
1985-10-23 16:50:00,1.61,2.323,300.0,3.0,1.61,3.572,2.323,691.5,884.2499999999999
1985-10-23 16:55:00,0.857,1.603,300.0,1.61,0.857,2.323,1.603,370.05,588.9
1985-10-23 17:00:00,0.53,1.168,300.0,0.857,0.53,1.603,1.168,208.05,415.65
1985-10-23 17:05:00,0.366,0.884,300.0,0.53,0.366,1.168,0.884,134.4,307.8
1985-10-23 17:10:00,0.293,0.694,300.0,0.366,0.293,0.884,0.694,98.85000000000001,236.7
1985-10-23 17:15:00,0.24,0.552,300.0,0.293,0.24,0.694,0.552,79.94999999999999,186.9
1985-10-23 17:20:00,0.201,0.445,300.0,0.24,0.201,0.552,0.445,66.15,149.55
1985-10-23 17:25:00,0.172,0.366,300.0,0.201,0.172,0.445,0.366,55.95,121.64999999999999
1985-10-23 17:30:00,0.154,0.304,300.0,0.172,0.154,0.366,0.304,48.89999999999999,100.49999999999999
1985-10-23 17:35:00,0.136,0.255,300.0,0.154,0.136,0.304,0.255,43.50000000000001,83.85
1985-10-23 17:40:00,0.121,0.216,300.0,0.136,0.121,0.255,0.216,38.550000000000004,70.64999999999999
1985-10-23 17:45:00,0.117,0.185,300.0,0.121,0.117,0.216,0.185,35.699999999999996,60.150000000000006
1985-10-23 17:50:00,0.112,0.159,300.0,0.117,0.112,0.185,0.159,34.35,51.599999999999994
1985-10-23 17:55:00,0.107,0.138,300.0,0.112,0.107,0.159,0.138,32.85,44.550000000000004
1985-10-23 18:00:00,0.105,0.12,300.0,0.107,0.105,0.138,0.12,31.8,38.7
1985-10-23 18:05:00,0.102,0.105,300.0,0.105,0.102,0.12,0.105,31.049999999999997,33.75
1985-10-23 18:10:00,0.102,0.092,300.0,0.102,0.102,0.105,0.092,30.599999999999998,29.55
1985-10-23 18:15:00,0.102,0.081,300.0,0.102,0.102,0.092,0.081,30.599999999999998,25.95
1985-10-23 18:20:00,0.102,0.071,300.0,0.102,0.102,0.081,0.071,30.599999999999998,22.8
1985-10-23 18:25:00,0.102,0.063,300.0,0.102,0.102,0.071,0.063,30.599999999999998,20.1
1985-10-23 18:30:00,0.102,0.055,300.0,0.102,0.102,0.063,0.055,30.599999999999998,17.7
1985-10-23 18:35:00,0.102,0.049,300.0,0.102,0.102,0.055,0.049,30.599999999999998,15.600000000000001
1985-10-23 18:40:00,0.102,0.043,300.0,0.102,0.102,0.049,0.043,30.599999999999998,13.799999999999999
1985-10-23 18:45:00,0.102,0.038,300.0,0.102,0.102,0.043,0.038,30.599999999999998,12.149999999999999
1985-10-23 18:50:00,0.102,0.034,300.0,0.102,0.102,0.038,0.034,30.599999999999998,10.8
1985-10-23 18:55:00,0.102,0.03,300.0,0.102,0.102,0.034,0.03,30.599999999999998,9.6
1985-10-23 19:00:00,0.102,0.026,300.0,0.102,0.102,0.03,0.026,30.599999999999998,8.399999999999999
1985-10-23 19:05:00,0.102,0.023,300.0,0.102,0.102,0.026,0.023,30.599999999999998,7.3500000000000005
1985-10-23 19:10:00,0.102,0.021,300.0,0.102,0.102,0.023,0.021,30.599999999999998,6.6
1985-10-23 19:15:00,0.102,0.018,300.0,0.102,0.102,0.021,0.018,30.599999999999998,5.85
1985-10-23 19:20:00,0.102,0.016,300.0,0.102,0.102,0.018,0.016,30.599999999999998,5.1000000000000005
1985-10-23 19:25:00,0.102,0.015,300.0,0.102,0.102,0.016,0.015,30.599999999999998,4.65
1985-10-23 19:30:00,0.102,0.013,300.0,0.102,0.102,0.015,0.013,30.599999999999998,4.199999999999999
1985-10-23 19:35:00,0.1,0.011,300.0,0.102,0.1,0.013,0.011,30.3,3.6
1985-10-23 19:40:00,0.097,0.01,300.0,0.1,0.097,0.011,0.01,29.55,3.1499999999999995
1985-10-23 19:45:00,0.097,0.009,300.0,0.097,0.097,0.01,0.009,29.1,2.85
1985-10-23 19:50:00,0.097,0.008,300.0,0.097,0.097,0.009,0.008,29.1,2.5500000000000003
