Date_Time,Q_recorded,Q_predicted_4,Q_diff,Q_sqr_diff,Q_var_rec,Q_sqr_var_rec
1997-10-07 08:37:00,0.078,0.001,-0.077,0.005929,-0.5853047210300429,0.3425816164600564
1997-10-07 08:42:00,0.078,0.008,-0.07,0.004900000000000001,-0.5853047210300429,0.3425816164600564
1997-10-07 08:47:00,0.078,0.012,-0.066,0.0043560000000000005,-0.5853047210300429,0.3425816164600564
1997-10-07 08:52:00,0.13,0.049,-0.081,0.006561,-0.5333047210300429,0.28441392547293187
1997-10-07 08:57:00,0.323,0.106,-0.21700000000000003,0.04708900000000001,-0.3403047210300429,0.11580730315533531
1997-10-07 09:02:00,0.496,0.236,-0.26,0.06760000000000001,-0.1673047210300429,0.02799086967894048
1997-10-07 09:07:00,0.422,0.289,-0.133,0.017689000000000003,-0.2413047210300429,0.05822796839138684
1997-10-07 09:12:00,0.386,0.302,-0.08400000000000002,0.007056000000000003,-0.2773047210300429,0.0768979083055499
1997-10-07 09:17:00,0.422,0.35,-0.07200000000000001,0.005184000000000001,-0.2413047210300429,0.05822796839138684
1997-10-07 09:22:00,0.499,0.441,-0.057999999999999996,0.0033639999999999994,-0.1643047210300429,0.026996041352760222
1997-10-07 09:27:00,0.504,0.49,-0.014000000000000012,0.00019600000000000035,-0.1593047210300429,0.02537799414245979
1997-10-07 09:32:00,0.438,0.457,0.019000000000000017,0.00036100000000000064,-0.2253047210300429,0.05076221731842546
1997-10-07 09:37:00,0.344,0.38,0.03600000000000003,0.0012960000000000022,-0.3193047210300429,0.10195550487207354
1997-10-07 09:42:00,0.265,0.308,0.04299999999999998,0.0018489999999999984,-0.3983047210300429,0.1586466507948203
1997-10-07 09:47:00,0.198,0.264,0.066,0.0043560000000000005,-0.4653047210300429,0.21650848341284604
1997-10-07 09:52:00,0.157,0.23,0.07300000000000001,0.005329000000000001,-0.5063047210300429,0.2563444705373095
1997-10-07 09:57:00,0.121,0.201,0.08000000000000002,0.006400000000000003,-0.5423047210300429,0.29409441045147267
1997-10-07 10:02:00,0.097,0.166,0.069,0.0047610000000000005,-0.5663047210300429,0.32070103706091474
1997-10-07 10:07:00,0.083,0.14,0.05700000000000001,0.003249000000000001,-0.5803047210300429,0.33675356924975597
1997-10-07 10:12:00,0.078,0.131,0.053000000000000005,0.0028090000000000007,-0.5853047210300429,0.3425816164600564
1997-10-07 10:17:00,0.078,0.124,0.046,0.002116,-0.5853047210300429,0.3425816164600564
1997-10-07 10:22:00,0.078,0.117,0.03900000000000001,0.0015210000000000004,-0.5853047210300429,0.3425816164600564
1997-10-07 10:27:00,0.078,0.113,0.035,0.0012250000000000002,-0.5853047210300429,0.3425816164600564
1997-10-07 10:32:00,0.078,0.119,0.040999999999999995,0.0016809999999999996,-0.5853047210300429,0.3425816164600564
1997-10-07 10:37:00,0.102,0.154,0.052000000000000005,0.0027040000000000007,-0.5613047210300429,0.3150629898506143
1997-10-07 10:42:00,0.22,0.249,0.028999999999999998,0.0008409999999999998,-0.4433047210300429,0.1965190756875242
1997-10-07 10:47:00,0.366,0.388,0.02200000000000002,0.00048400000000000087,-0.2973047210300429,0.08839009714675164
