Date_Time,Q_recorded,Q_predicted_2,Q_diff,Q_rel_diff,Q_sqr_rel_diff
1997-10-07 08:37:00,0.078,0.001,-0.077,-0.9871794871794871,0.9745233399079551
1997-10-07 08:42:00,0.078,0.01,-0.068,-0.8717948717948718,0.760026298487837
1997-10-07 08:47:00,0.078,0.012,-0.066,-0.8461538461538461,0.7159763313609467
1997-10-07 08:52:00,0.13,0.029,-0.101,-0.7769230769230769,0.6036094674556213
1997-10-07 08:57:00,0.323,0.159,-0.164,-0.5077399380804953,0.25779984472198525
1997-10-07 09:02:00,0.496,0.263,-0.23299999999999998,-0.469758064516129,0.2206726391779396
1997-10-07 09:07:00,0.422,0.302,-0.12,-0.2843601895734597,0.08086071741425395
1997-10-07 09:12:00,0.386,0.332,-0.05399999999999999,-0.1398963730569948,0.019570995194501856
1997-10-07 09:17:00,0.422,0.395,-0.02699999999999997,-0.06398104265402836,0.004093573819096597
1997-10-07 09:22:00,0.499,0.506,0.007000000000000006,0.014028056112224461,0.00019678635828771805
1997-10-07 09:27:00,0.504,0.557,0.05300000000000005,0.10515873015873026,0.011058358528596645
1997-10-07 09:32:00,0.438,0.544,0.10600000000000004,0.24200913242009142,0.05856842017472535
1997-10-07 09:37:00,0.344,0.471,0.127,0.36918604651162795,0.1362983369388859
1997-10-07 09:42:00,0.265,0.394,0.129,0.4867924528301887,0.23696689213243147
1997-10-07 09:47:00,0.198,0.347,0.14899999999999997,0.7525252525252523,0.5662942556881947
1997-10-07 09:52:00,0.157,0.32,0.163,1.0382165605095541,1.0778936265162886
1997-10-07 09:57:00,0.121,0.281,0.16000000000000003,1.3223140495867771,1.7485144457345816
1997-10-07 10:02:00,0.097,0.236,0.13899999999999998,1.4329896907216493,2.053459453714528
1997-10-07 10:07:00,0.083,0.206,0.12299999999999998,1.4819277108433733,2.1961097401654803
1997-10-07 10:12:00,0.078,0.188,0.11,1.4102564102564104,1.9888231426692968
1997-10-07 10:17:00,0.078,0.193,0.115,1.4743589743589745,2.173734385272847
1997-10-07 10:22:00,0.078,0.184,0.106,1.358974358974359,1.8468113083497701
1997-10-07 10:27:00,0.078,0.174,0.09599999999999999,1.2307692307692306,1.5147928994082835
1997-10-07 10:32:00,0.078,0.177,0.09899999999999999,1.2692307692307692,1.61094674556213
1997-10-07 10:37:00,0.102,0.241,0.139,1.362745098039216,1.8570742022299123
1997-10-07 10:42:00,0.22,0.401,0.18100000000000002,0.8227272727272729,0.6768801652892564
1997-10-07 10:47:00,0.366,0.581,0.21499999999999997,0.5874316939890709,0.34507599510286946
1997-10-07 10:52:00,0.496,0.773,0.277,0.5584677419354839,0.3118862187825182
1997-10-07 10:57:00,0.58,0.969,0.389,0.6706896551724139,0.4498246135552914
1997-10-07 11:02:00,0.695,1.141,0.44600000000000006,0.6417266187050361,0.4118130531545988
1997-10-07 11:07:00,0.81,1.321,0.5109999999999999,0.630864197530864,0.39798963572626095
1997-10-07 11:12:00,0.922,1.594,0.672,0.7288503253796096,0.5312227968059627
1997-10-07 11:17:00,0.998,1.719,0.7210000000000001,0.7224448897795592,0.5219266187685995
1997-10-07 11:22:00,0.928,1.514,0.586,0.6314655172413792,0.3987486994649226
1997-10-07 11:27:00,0.718,1.308,0.5900000000000001,0.8217270194986074,0.6752352945740647
1997-10-07 11:32:00,0.54,1.174,0.6339999999999999,1.1740740740740738,1.3784499314128937
1997-10-07 11:37:00,0.443,1.08,0.637,1.437923250564334,2.0676232745135006
1997-10-07 11:42:00,0.371,1.014,0.643,1.7331536388140163,3.0038215357342657
1997-10-07 11:47:00,0.366,1.014,0.648,1.7704918032786887,3.134641225477023
1997-10-07 11:52:00,0.443,1.071,0.6279999999999999,1.4176072234762978,2.009610240052178
1997-10-07 11:57:00,0.559,1.109,0.5499999999999999,0.9838998211091232,0.9680588579785647
1997-10-07 12:02:00,0.695,1.256,0.561,0.8071942446043167,0.6515625485223334
