Date_Time,Q_recorded,Q_predicted_4,Q_diff
1993-01-06 17:35:00,0.002,0.0,-0.002
1993-01-06 17:40:00,0.002,0.0,-0.002
1993-01-06 17:45:00,0.002,0.0,-0.002
1993-01-06 17:50:00,0.002,0.0,-0.002
1993-01-06 17:55:00,0.285,0.0,-0.285
1993-01-06 18:00:00,1.899,0.0,-1.899
1993-01-06 18:05:00,1.899,0.028,-1.871
1993-01-06 18:10:00,1.04,0.167,-0.873
1993-01-06 18:15:00,0.492,0.748,0.256
1993-01-06 18:20:00,0.236,0.82,0.584
1993-01-06 18:25:00,0.157,0.613,0.45599999999999996
1993-01-06 18:30:00,0.1,0.472,0.372
1993-01-06 18:35:00,0.061,0.379,0.318
1993-01-06 18:40:00,0.036,0.314,0.278
1993-01-06 18:45:00,0.018,0.265,0.24700000000000003
1993-01-06 18:50:00,0.015,0.234,0.21900000000000003
1993-01-06 18:55:00,0.014,0.239,0.22499999999999998
1993-01-06 19:00:00,0.011,0.281,0.27
1993-01-06 19:05:00,0.007,0.332,0.325
1993-01-06 19:10:00,0.007,0.342,0.335
1993-01-06 19:15:00,0.003,0.301,0.298
1993-01-06 19:20:00,0.005,0.251,0.246
1993-01-06 19:25:00,0.005,0.206,0.20099999999999998
1993-01-06 19:30:00,0.005,0.171,0.166
1993-01-06 19:35:00,0.005,0.143,0.13799999999999998
1993-01-06 19:40:00,0.005,0.121,0.11599999999999999
1993-01-06 19:45:00,0.005,0.103,0.09799999999999999
1993-01-06 19:50:00,0.005,0.088,0.08299999999999999
1993-01-06 19:55:00,0.005,0.076,0.071
1993-01-06 20:00:00,0.005,0.066,0.061000000000000006
1993-01-06 20:05:00,0.005,0.057,0.052000000000000005
1993-01-06 20:10:00,0.005,0.05,0.045000000000000005
1993-01-06 20:15:00,0.005,0.043,0.038
1993-01-06 20:20:00,0.005,0.038,0.033
1993-01-06 20:25:00,0.005,0.033,0.028
1993-01-06 20:30:00,0.005,0.029,0.024
1993-01-06 20:35:00,0.005,0.026,0.020999999999999998
1993-01-06 20:40:00,0.005,0.023,0.018
1993-01-06 20:45:00,0.005,0.021,0.016
1993-01-06 20:50:00,0.005,0.022,0.016999999999999998
1993-01-06 20:55:00,0.005,0.026,0.020999999999999998
1993-01-06 21:00:00,0.005,0.039,0.034
1993-01-06 21:05:00,0.005,0.053,0.048
1993-01-06 21:10:00,0.005,0.058,0.053000000000000005
1993-01-06 21:15:00,0.005,0.069,0.064
1993-01-06 21:20:00,0.005,0.075,0.06999999999999999
1993-01-06 21:25:00,0.005,0.081,0.076
1993-01-06 21:30:00,0.032,0.088,0.055999999999999994
1993-01-06 21:35:00,0.916,0.098,-0.8180000000000001
1993-01-06 21:40:00,0.972,0.165,-0.8069999999999999
1993-01-06 21:45:00,0.499,0.6,0.10099999999999998
1993-01-06 21:50:00,0.331,1.363,1.032
1993-01-06 21:55:00,1.096,1.28,0.18399999999999994
1993-01-06 22:00:00,8.768,1.018,-7.750000000000001
1993-01-06 22:05:00,9.516,1.154,-8.362
1993-01-06 22:10:00,5.597,5.373,-0.2240000000000002
1993-01-06 22:15:00,3.898,8.591,4.693
1993-01-06 22:20:00,3.01,6.547,3.537
1993-01-06 22:25:00,2.054,5.493,3.4390000000000005
1993-01-06 22:30:00,2.18,4.562,2.382
1993-01-06 22:35:00,3.05,3.841,0.7910000000000004
1993-01-06 22:40:00,1.917,3.257,1.34
1993-01-06 22:45:00,1.236,2.86,1.6239999999999999
1993-01-06 22:50:00,0.922,2.59,1.6679999999999997
1993-01-06 22:55:00,0.749,2.185,1.436
1993-01-06 23:00:00,0.61,1.709,1.0990000000000002
1993-01-06 23:05:00,0.48,1.361,0.881
1993-01-06 23:10:00,0.357,1.101,0.744
1993-01-06 23:15:00,0.289,0.88,0.591
1993-01-06 23:20:00,0.236,0.711,0.475
1993-01-06 23:25:00,0.201,0.59,0.38899999999999996
1993-01-06 23:30:00,0.177,0.497,0.32
1993-01-06 23:35:00,0.154,0.427,0.273
1993-01-06 23:40:00,0.127,0.37,0.243
1993-01-06 23:45:00,0.11,0.322,0.21200000000000002
1993-01-06 23:50:00,0.096,0.283,0.18699999999999997
1993-01-06 23:55:00,0.08,0.251,0.17099999999999999
1993-01-07 00:00:00,0.069,0.224,0.155
1993-01-07 00:05:00,0.061,0.198,0.137
1993-01-07 00:10:00,0.054,0.173,0.119
1993-01-07 00:15:00,0.048,0.151,0.103
1993-01-07 00:20:00,0.042,0.131,0.089
1993-01-07 00:25:00,0.041,0.113,0.07200000000000001
1993-01-07 00:30:00,0.039,0.098,0.059000000000000004
1993-01-07 00:35:00,0.038,0.086,0.047999999999999994
1993-01-07 00:40:00,0.036,0.075,0.039
1993-01-07 00:45:00,0.035,0.065,0.03
1993-01-07 00:50:00,0.035,0.057,0.022
1993-01-07 00:55:00,0.035,0.05,0.015
1993-01-07 01:00:00,0.035,0.044,0.008999999999999994
1993-01-07 01:05:00,0.035,0.039,0.003999999999999997
1993-01-07 01:10:00,0.035,0.035,0.0
1993-01-07 01:15:00,0.035,0.031,-0.0040000000000000036
1993-01-07 01:20:00,0.035,0.027,-0.008000000000000004
1993-01-07 01:25:00,0.035,0.024,-0.011000000000000003
1993-01-07 01:30:00,0.035,0.021,-0.014000000000000002
1993-01-07 01:35:00,0.035,0.019,-0.016000000000000004
1993-01-07 01:40:00,0.035,0.017,-0.018000000000000002
1993-01-07 01:45:00,0.035,0.015,-0.020000000000000004
1993-01-07 01:50:00,0.036,0.013,-0.023
1993-01-07 01:55:00,0.036,0.012,-0.023999999999999997
1993-01-07 02:00:00,0.036,0.011,-0.024999999999999998
1993-01-07 02:05:00,0.036,0.01,-0.025999999999999995
1993-01-07 02:10:00,0.036,0.009,-0.026999999999999996
1993-01-07 02:15:00,0.036,0.008,-0.027999999999999997
1993-01-07 02:20:00,0.036,0.007,-0.028999999999999998
1993-01-07 02:25:00,0.036,0.006,-0.03
1993-01-07 02:30:00,0.038,0.006,-0.032
1993-01-07 02:35:00,0.038,0.005,-0.033
1993-01-07 02:40:00,0.038,0.005,-0.033
1993-01-07 02:45:00,0.038,0.004,-0.034
1993-01-07 02:50:00,0.038,0.004,-0.034
1993-01-07 02:55:00,0.038,0.004,-0.034
1993-01-07 03:00:00,0.038,0.003,-0.034999999999999996
1993-01-07 03:05:00,0.038,0.003,-0.034999999999999996
1993-01-07 03:10:00,0.038,0.003,-0.034999999999999996
1993-01-07 03:15:00,0.038,0.002,-0.036
1993-01-07 03:20:00,0.038,0.002,-0.036
1993-01-07 03:25:00,0.038,0.002,-0.036
