Date_Time,Q_recorded,Q_predicted_1,Q_diff,Q_sqr_diff,Q_var_rec,Q_sqr_var_rec
1993-01-06 17:35:00,0.002,0.0,-0.002,4e-06,-0.3905533333333333,0.15253190617777776
1993-01-06 17:40:00,0.002,0.0,-0.002,4e-06,-0.3905533333333333,0.15253190617777776
1993-01-06 17:45:00,0.002,0.0,-0.002,4e-06,-0.3905533333333333,0.15253190617777776
1993-01-06 17:50:00,0.002,0.0,-0.002,4e-06,-0.3905533333333333,0.15253190617777776
1993-01-06 17:55:00,0.285,0.0,-0.285,0.08122499999999999,-0.10755333333333333,0.01156771951111111
1993-01-06 18:00:00,1.899,0.0,-1.899,3.606201,1.5064466666666667,2.2693815595111113
1993-01-06 18:05:00,1.899,0.03,-1.869,3.493161,1.5064466666666667,2.2693815595111113
1993-01-06 18:10:00,1.04,0.21,-0.8300000000000001,0.6889000000000001,0.6474466666666667,0.41918718617777784
1993-01-06 18:15:00,0.492,0.661,0.16900000000000004,0.028561000000000013,0.09944666666666668,0.009889639511111114
1993-01-06 18:20:00,0.236,0.706,0.47,0.22089999999999999,-0.15655333333333332,0.024508946177777775
1993-01-06 18:25:00,0.157,0.512,0.355,0.126025,-0.2355533333333333,0.055485372844444436
1993-01-06 18:30:00,0.1,0.379,0.279,0.07784100000000002,-0.29255333333333333,0.08558745284444444
1993-01-06 18:35:00,0.061,0.294,0.23299999999999998,0.05428899999999999,-0.3315533333333333,0.10992761284444443
1993-01-06 18:40:00,0.036,0.237,0.20099999999999998,0.04040099999999999,-0.35655333333333333,0.1271302795111111
1993-01-06 18:45:00,0.018,0.196,0.17800000000000002,0.031684000000000004,-0.3745533333333333,0.14029019951111107
1993-01-06 18:50:00,0.015,0.172,0.15699999999999997,0.02464899999999999,-0.3775533333333333,0.14254651951111108
1993-01-06 18:55:00,0.014,0.177,0.16299999999999998,0.026568999999999992,-0.3785533333333333,0.14330262617777775
1993-01-06 19:00:00,0.011,0.216,0.205,0.04202499999999999,-0.3815533333333333,0.14558294617777776
1993-01-06 19:05:00,0.007,0.253,0.246,0.060516,-0.3855533333333333,0.14865137284444443
1993-01-06 19:10:00,0.007,0.261,0.254,0.064516,-0.3855533333333333,0.14865137284444443
1993-01-06 19:15:00,0.003,0.228,0.225,0.050625,-0.3895533333333333,0.1517517995111111
1993-01-06 19:20:00,0.005,0.188,0.183,0.033489,-0.3875533333333333,0.15019758617777776
1993-01-06 19:25:00,0.005,0.152,0.147,0.021608999999999996,-0.3875533333333333,0.15019758617777776
1993-01-06 19:30:00,0.005,0.124,0.119,0.014160999999999998,-0.3875533333333333,0.15019758617777776
1993-01-06 19:35:00,0.005,0.102,0.09699999999999999,0.009408999999999997,-0.3875533333333333,0.15019758617777776
1993-01-06 19:40:00,0.005,0.084,0.079,0.006241,-0.3875533333333333,0.15019758617777776
1993-01-06 19:45:00,0.005,0.071,0.06599999999999999,0.004355999999999999,-0.3875533333333333,0.15019758617777776
1993-01-06 19:50:00,0.005,0.06,0.055,0.003025,-0.3875533333333333,0.15019758617777776
1993-01-06 19:55:00,0.005,0.051,0.046,0.002116,-0.3875533333333333,0.15019758617777776
1993-01-06 20:00:00,0.005,0.043,0.038,0.001444,-0.3875533333333333,0.15019758617777776
1993-01-06 20:05:00,0.005,0.037,0.032,0.001024,-0.3875533333333333,0.15019758617777776
1993-01-06 20:10:00,0.005,0.032,0.027,0.0007289999999999999,-0.3875533333333333,0.15019758617777776
1993-01-06 20:15:00,0.005,0.028,0.023,0.000529,-0.3875533333333333,0.15019758617777776
1993-01-06 20:20:00,0.005,0.024,0.019,0.000361,-0.3875533333333333,0.15019758617777776
1993-01-06 20:25:00,0.005,0.021,0.016,0.000256,-0.3875533333333333,0.15019758617777776
1993-01-06 20:30:00,0.005,0.019,0.013999999999999999,0.00019599999999999997,-0.3875533333333333,0.15019758617777776
1993-01-06 20:35:00,0.005,0.016,0.011,0.00012099999999999999,-0.3875533333333333,0.15019758617777776
1993-01-06 20:40:00,0.005,0.014,0.009000000000000001,8.100000000000002e-05,-0.3875533333333333,0.15019758617777776
1993-01-06 20:45:00,0.005,0.014,0.009000000000000001,8.100000000000002e-05,-0.3875533333333333,0.15019758617777776
