Date_Time,Q_recorded,Q_predicted_1,Q_diff
1997-10-07 15:57:00,0.191,0.122,-0.069
1997-10-07 16:02:00,0.191,0.12,-0.07100000000000001
1997-10-07 16:07:00,0.198,0.134,-0.064
1997-10-07 16:12:00,0.254,0.167,-0.087
1997-10-07 16:17:00,0.386,0.265,-0.121
1997-10-07 16:22:00,0.708,0.524,-0.18399999999999994
1997-10-07 16:27:00,1.602,1.025,-0.5770000000000002
1997-10-07 16:32:00,2.726,1.661,-1.065
1997-10-07 16:37:00,3.43,2.514,-0.9160000000000004
1997-10-07 16:42:00,4.106,3.504,-0.6019999999999999
1997-10-07 16:47:00,4.106,3.913,-0.19300000000000006
1997-10-07 16:52:00,3.733,3.771,0.03799999999999981
1997-10-07 16:57:00,2.594,2.796,0.20199999999999996
1997-10-07 17:02:00,1.658,2.017,0.359
1997-10-07 17:07:00,1.145,1.561,0.4159999999999999
1997-10-07 17:12:00,0.916,1.243,0.32700000000000007
1997-10-07 17:17:00,0.766,1.047,0.2809999999999999
1997-10-07 17:22:00,0.671,0.865,0.19399999999999995
1997-10-07 17:27:00,0.57,0.696,0.126
1997-10-07 17:32:00,0.5,0.567,0.06699999999999995
1997-10-07 17:37:00,0.432,0.467,0.03500000000000003
1997-10-07 17:42:00,0.376,0.391,0.015000000000000013
1997-10-07 17:47:00,0.336,0.329,-0.007000000000000006
1997-10-07 17:52:00,0.317,0.281,-0.035999999999999976
1997-10-07 17:57:00,0.297,0.242,-0.05499999999999999
1997-10-07 18:02:00,0.276,0.209,-0.06700000000000003
1997-10-07 18:07:00,0.261,0.181,-0.08000000000000002
1997-10-07 18:12:00,0.24,0.158,-0.08199999999999999
1997-10-07 18:17:00,0.228,0.139,-0.089
1997-10-07 18:22:00,0.224,0.123,-0.101
1997-10-07 18:27:00,0.216,0.109,-0.107
1997-10-07 18:32:00,0.204,0.096,-0.10799999999999998
1997-10-07 18:37:00,0.198,0.086,-0.11200000000000002
1997-10-07 18:42:00,0.191,0.076,-0.115
1997-10-07 18:47:00,0.184,0.068,-0.11599999999999999
1997-10-07 18:52:00,0.174,0.061,-0.11299999999999999
1997-10-07 18:57:00,0.174,0.056,-0.118
1997-10-07 19:02:00,0.174,0.057,-0.11699999999999999
1997-10-07 19:07:00,0.174,0.059,-0.11499999999999999
1997-10-07 19:12:00,0.174,0.066,-0.10799999999999998
1997-10-07 19:17:00,0.174,0.065,-0.10899999999999999
1997-10-07 19:22:00,0.174,0.064,-0.10999999999999999
1997-10-07 19:27:00,0.174,0.062,-0.11199999999999999
1997-10-07 19:32:00,0.174,0.057,-0.11699999999999999
1997-10-07 19:37:00,0.175,0.051,-0.124
1997-10-07 19:42:00,0.166,0.046,-0.12000000000000001
1997-10-07 19:47:00,0.151,0.041,-0.10999999999999999
1997-10-07 19:52:00,0.148,0.036,-0.11199999999999999
1997-10-07 19:57:00,0.148,0.032,-0.11599999999999999
1997-10-07 20:02:00,0.148,0.029,-0.119
1997-10-07 20:07:00,0.148,0.026,-0.122
1997-10-07 20:12:00,0.148,0.023,-0.125
1997-10-07 20:17:00,0.148,0.021,-0.127
1997-10-07 20:22:00,0.148,0.019,-0.129
1997-10-07 20:27:00,0.148,0.017,-0.131
1997-10-07 20:32:00,0.148,0.015,-0.133
1997-10-07 20:37:00,0.148,0.014,-0.13399999999999998
1997-10-07 20:42:00,0.148,0.012,-0.13599999999999998
1997-10-07 20:47:00,0.148,0.011,-0.13699999999999998
1997-10-07 20:52:00,0.148,0.01,-0.13799999999999998
1997-10-07 20:57:00,0.148,0.009,-0.13899999999999998
1997-10-07 21:02:00,0.148,0.008,-0.13999999999999999
1997-10-07 21:07:00,0.148,0.007,-0.141
1997-10-07 21:12:00,0.148,0.007,-0.141
1997-10-07 21:17:00,0.148,0.006,-0.142
1997-10-07 21:22:00,0.148,0.005,-0.143
1997-10-07 21:27:00,0.148,0.005,-0.143
1997-10-07 21:32:00,0.148,0.004,-0.144
1997-10-07 21:37:00,0.148,0.004,-0.144
1997-10-07 21:42:00,0.148,0.004,-0.144
1997-10-07 21:47:00,0.148,0.003,-0.145
1997-10-07 21:52:00,0.148,0.003,-0.145
1997-10-07 21:57:00,0.148,0.003,-0.145
1997-10-07 22:02:00,0.148,0.002,-0.146
1997-10-07 22:07:00,0.148,0.002,-0.146
1997-10-07 22:12:00,0.148,0.002,-0.146
1997-10-07 22:17:00,0.148,0.002,-0.146
1997-10-07 22:22:00,0.148,0.002,-0.146
1997-10-07 22:27:00,0.148,0.001,-0.147
1997-10-07 22:32:00,0.148,0.001,-0.147
1997-10-07 22:37:00,0.148,0.001,-0.147
1997-10-07 22:42:00,0.148,0.001,-0.147
1997-10-07 22:47:00,0.148,0.001,-0.147
1997-10-07 22:52:00,0.148,0.001,-0.147
1997-10-07 22:57:00,0.148,0.001,-0.147
1997-10-07 23:02:00,0.148,0.001,-0.147
1997-10-07 23:07:00,0.148,0.001,-0.147
1997-10-07 23:12:00,0.148,0.001,-0.147
1997-10-07 23:17:00,0.148,0.0,-0.148
1997-10-07 23:22:00,0.148,0.0,-0.148
1997-10-07 23:27:00,0.148,0.0,-0.148
1997-10-07 23:32:00,0.148,0.0,-0.148
1997-10-07 23:37:00,0.148,0.0,-0.148
1997-10-07 23:42:00,0.148,0.0,-0.148
1997-10-07 23:47:00,0.148,0.0,-0.148
1997-10-07 23:52:00,0.148,0.0,-0.148
1997-10-07 23:57:00,0.148,0.0,-0.148
1997-10-08 00:02:00,0.148,0.0,-0.148
1997-10-08 00:07:00,0.148,0.0,-0.148
1997-10-08 00:12:00,0.148,0.0,-0.148
1997-10-08 00:17:00,0.148,0.0,-0.148
1997-10-08 00:22:00,0.145,0.0,-0.145
1997-10-08 00:27:00,0.142,0.0,-0.142
1997-10-08 00:32:00,0.136,0.0,-0.136
1997-10-08 00:37:00,0.133,0.0,-0.133
1997-10-08 00:42:00,0.133,0.0,-0.133
1997-10-08 00:47:00,0.133,0.0,-0.133
1997-10-08 00:52:00,0.133,0.0,-0.133
1997-10-08 00:57:00,0.133,0.0,-0.133
1997-10-08 01:02:00,0.133,0.0,-0.133
1997-10-08 01:07:00,0.133,0.0,-0.133
1997-10-08 01:12:00,0.133,0.0,-0.133
1997-10-08 01:17:00,0.133,0.0,-0.133
1997-10-08 01:22:00,0.133,0.0,-0.133
1997-10-08 01:27:00,0.133,0.0,-0.133
1997-10-08 01:32:00,0.133,0.0,-0.133
1997-10-08 01:37:00,0.133,0.0,-0.133
1997-10-08 01:42:00,0.133,0.0,-0.133
1997-10-08 01:47:00,0.133,0.0,-0.133
1997-10-08 01:52:00,0.133,0.0,-0.133
1997-10-08 01:57:00,0.133,0.0,-0.133
1997-10-08 02:02:00,0.133,0.0,-0.133
1997-10-08 02:07:00,0.133,0.0,-0.133
1997-10-08 02:12:00,0.133,0.0,-0.133
1997-10-08 02:17:00,0.133,0.0,-0.133
1997-10-08 02:22:00,0.133,0.0,-0.133
1997-10-08 02:27:00,0.133,0.0,-0.133
1997-10-08 02:32:00,0.133,0.0,-0.133
1997-10-08 02:37:00,0.133,0.0,-0.133
1997-10-08 02:42:00,0.133,0.0,-0.133
1997-10-08 02:47:00,0.133,0.0,-0.133
1997-10-08 02:52:00,0.133,0.0,-0.133
1997-10-08 02:57:00,0.133,0.0,-0.133
1997-10-08 03:02:00,0.133,0.0,-0.133
1997-10-08 03:07:00,0.133,0.0,-0.133
1997-10-08 03:12:00,0.133,0.0,-0.133
1997-10-08 03:17:00,0.133,0.0,-0.133
1997-10-08 03:22:00,0.133,0.0,-0.133
1997-10-08 03:27:00,0.133,0.0,-0.133
1997-10-08 03:32:00,0.133,0.0,-0.133
1997-10-08 03:37:00,0.133,0.0,-0.133
1997-10-08 03:42:00,0.133,0.0,-0.133
1997-10-08 03:47:00,0.133,0.0,-0.133
1997-10-08 03:52:00,0.133,0.0,-0.133
1997-10-08 03:57:00,0.133,0.0,-0.133
