Date_Time,Q_recorded,Q_predicted_2,Q_abs_diff
1985-10-23 13:05:00,0.028,0.0,0.028
1985-10-23 13:10:00,0.028,0.0,0.028
1985-10-23 13:15:00,0.028,0.0,0.028
1985-10-23 13:20:00,0.028,0.0,0.028
1985-10-23 13:25:00,0.028,0.0,0.028
1985-10-23 13:30:00,0.029,0.0,0.029
1985-10-23 13:35:00,0.029,0.0,0.029
1985-10-23 13:40:00,0.029,0.0,0.029
1985-10-23 13:45:00,0.029,0.003,0.026000000000000002
1985-10-23 13:50:00,0.029,0.008,0.021
1985-10-23 13:55:00,0.041,0.021,0.02
1985-10-23 14:00:00,0.305,0.13,0.175
1985-10-23 14:05:00,1.497,0.677,0.8200000000000001
1985-10-23 14:10:00,1.682,1.108,0.5739999999999998
1985-10-23 14:15:00,0.885,0.906,0.02100000000000002
1985-10-23 14:20:00,0.492,0.654,0.16200000000000003
1985-10-23 14:25:00,0.269,0.477,0.20799999999999996
1985-10-23 14:30:00,0.166,0.356,0.18999999999999997
1985-10-23 14:35:00,0.107,0.273,0.16600000000000004
1985-10-23 14:40:00,0.078,0.214,0.136
1985-10-23 14:45:00,0.044,0.171,0.127
1985-10-23 14:50:00,0.039,0.139,0.1
1985-10-23 14:55:00,0.036,0.114,0.07800000000000001
1985-10-23 15:00:00,0.035,0.095,0.06
1985-10-23 15:05:00,0.035,0.08,0.045
1985-10-23 15:10:00,0.034,0.067,0.033
1985-10-23 15:15:00,0.039,0.057,0.018000000000000002
1985-10-23 15:20:00,0.029,0.049,0.02
1985-10-23 15:25:00,0.028,0.042,0.014000000000000002
1985-10-23 15:30:00,0.028,0.037,0.008999999999999998
1985-10-23 15:35:00,0.028,0.032,0.004
1985-10-23 15:40:00,0.028,0.028,0.0
1985-10-23 15:45:00,0.028,0.024,0.004
1985-10-23 15:50:00,0.028,0.021,0.006999999999999999
1985-10-23 15:55:00,0.028,0.019,0.009000000000000001
1985-10-23 16:00:00,0.028,0.016,0.012
1985-10-23 16:05:00,0.028,0.014,0.014
1985-10-23 16:10:00,0.028,0.013,0.015000000000000001
1985-10-23 16:15:00,0.028,0.011,0.017
1985-10-23 16:20:00,0.038,0.036,0.0020000000000000018
1985-10-23 16:25:00,0.76,0.895,0.135
1985-10-23 16:30:00,8.064,9.107,1.0429999999999993
1985-10-23 16:35:00,11.89,7.524,4.3660000000000005
1985-10-23 16:40:00,7.904,3.86,4.0440000000000005
1985-10-23 16:45:00,3.0,2.152,0.8479999999999999
1985-10-23 16:50:00,1.61,1.354,0.256
1985-10-23 16:55:00,0.857,0.92,0.06300000000000006
1985-10-23 17:00:00,0.53,0.662,0.132
1985-10-23 17:05:00,0.366,0.493,0.127
1985-10-23 17:10:00,0.293,0.379,0.08600000000000002
1985-10-23 17:15:00,0.24,0.298,0.057999999999999996
1985-10-23 17:20:00,0.201,0.238,0.03699999999999998
1985-10-23 17:25:00,0.172,0.194,0.02200000000000002
1985-10-23 17:30:00,0.154,0.16,0.006000000000000005
1985-10-23 17:35:00,0.136,0.134,0.0020000000000000018
1985-10-23 17:40:00,0.121,0.112,0.008999999999999994
1985-10-23 17:45:00,0.117,0.095,0.022000000000000006
1985-10-23 17:50:00,0.112,0.082,0.03
1985-10-23 17:55:00,0.107,0.07,0.03699999999999999
1985-10-23 18:00:00,0.105,0.061,0.044
1985-10-23 18:05:00,0.102,0.053,0.048999999999999995
1985-10-23 18:10:00,0.102,0.046,0.055999999999999994
1985-10-23 18:15:00,0.102,0.041,0.06099999999999999
1985-10-23 18:20:00,0.102,0.036,0.066
1985-10-23 18:25:00,0.102,0.031,0.071
1985-10-23 18:30:00,0.102,0.028,0.074
1985-10-23 18:35:00,0.102,0.024,0.07799999999999999
1985-10-23 18:40:00,0.102,0.022,0.07999999999999999
1985-10-23 18:45:00,0.102,0.019,0.08299999999999999
1985-10-23 18:50:00,0.102,0.017,0.08499999999999999
1985-10-23 18:55:00,0.102,0.015,0.087
1985-10-23 19:00:00,0.102,0.013,0.089
1985-10-23 19:05:00,0.102,0.012,0.09
1985-10-23 19:10:00,0.102,0.01,0.092
1985-10-23 19:15:00,0.102,0.009,0.093
1985-10-23 19:20:00,0.102,0.008,0.094
1985-10-23 19:25:00,0.102,0.007,0.09499999999999999
1985-10-23 19:30:00,0.102,0.007,0.09499999999999999
1985-10-23 19:35:00,0.1,0.006,0.094
1985-10-23 19:40:00,0.097,0.005,0.092
1985-10-23 19:45:00,0.097,0.005,0.092
1985-10-23 19:50:00,0.097,0.004,0.093
1985-10-23 19:55:00,0.098,0.004,0.094
