Date_Time,Q_recorded,Q_predicted_4,Q_var_rec,Q_var_pre,Q_sqr_var_rec,Q_sqr_var_pre,Q_prod_var_rec_pre
1993-01-06 17:35:00,0.002,0.0,-0.3905533333333333,-0.45931999999999995,0.15253190617777776,0.21097486239999996,0.17938895706666663
1993-01-06 17:40:00,0.002,0.0,-0.3905533333333333,-0.45931999999999995,0.15253190617777776,0.21097486239999996,0.17938895706666663
1993-01-06 17:45:00,0.002,0.0,-0.3905533333333333,-0.45931999999999995,0.15253190617777776,0.21097486239999996,0.17938895706666663
1993-01-06 17:50:00,0.002,0.0,-0.3905533333333333,-0.45931999999999995,0.15253190617777776,0.21097486239999996,0.17938895706666663
1993-01-06 17:55:00,0.285,0.0,-0.10755333333333333,-0.45931999999999995,0.01156771951111111,0.21097486239999996,0.049401397066666665
1993-01-06 18:00:00,1.899,0.0,1.5064466666666667,-0.45931999999999995,2.2693815595111113,0.21097486239999996,-0.6919410829333332
1993-01-06 18:05:00,1.899,0.028,1.5064466666666667,-0.4313199999999999,2.2693815595111113,0.18603694239999993,-0.6497605762666666
1993-01-06 18:10:00,1.04,0.167,0.6474466666666667,-0.2923199999999999,0.41918718617777784,0.08545098239999994,-0.18926160959999996
1993-01-06 18:15:00,0.492,0.748,0.09944666666666668,0.28868000000000005,0.009889639511111114,0.08333614240000002,0.028708263733333343
1993-01-06 18:20:00,0.236,0.82,-0.15655333333333332,0.36068,0.024508946177777775,0.1300900624,-0.056465656266666664
1993-01-06 18:25:00,0.157,0.613,-0.2355533333333333,0.15368000000000004,0.055485372844444436,0.02361754240000001,-0.036199836266666674
1993-01-06 18:30:00,0.1,0.472,-0.29255333333333333,0.012680000000000025,0.08558745284444444,0.00016078240000000062,-0.003709576266666674
1993-01-06 18:35:00,0.061,0.379,-0.3315533333333333,-0.08031999999999995,0.10992761284444443,0.006451302399999991,0.026630363733333315
1993-01-06 18:40:00,0.036,0.314,-0.35655333333333333,-0.14531999999999995,0.1271302795111111,0.021117902399999985,0.05181433039999998
1993-01-06 18:45:00,0.018,0.265,-0.3745533333333333,-0.19431999999999994,0.14029019951111107,0.03776026239999997,0.0727832037333333
1993-01-06 18:50:00,0.015,0.234,-0.3775533333333333,-0.22531999999999994,0.14254651951111108,0.050769102399999974,0.08507031706666664
1993-01-06 18:55:00,0.014,0.239,-0.3785533333333333,-0.22031999999999996,0.14330262617777775,0.04854090239999998,0.08340287039999998
1993-01-06 19:00:00,0.011,0.281,-0.3815533333333333,-0.17831999999999992,0.14558294617777776,0.03179802239999997,0.06803859039999996
1993-01-06 19:05:00,0.007,0.332,-0.3855533333333333,-0.12731999999999993,0.14865137284444443,0.016210382399999983,0.04908865039999997
1993-01-06 19:10:00,0.007,0.342,-0.3855533333333333,-0.11731999999999992,0.14865137284444443,0.013763982399999982,0.045233117066666634
1993-01-06 19:15:00,0.003,0.301,-0.3895533333333333,-0.15831999999999996,0.1517517995111111,0.025065222399999986,0.061674083733333315
1993-01-06 19:20:00,0.005,0.251,-0.3875533333333333,-0.20831999999999995,0.15019758617777776,0.04339722239999998,0.08073511039999998
1993-01-06 19:25:00,0.005,0.206,-0.3875533333333333,-0.25332,0.15019758617777776,0.0641710224,0.09817501039999998
1993-01-06 19:30:00,0.005,0.171,-0.3875533333333333,-0.2883199999999999,0.15019758617777776,0.08312842239999994,0.11173937706666662
1993-01-06 19:35:00,0.005,0.143,-0.3875533333333333,-0.31631999999999993,0.15019758617777776,0.10005834239999996,0.12259087039999997
1993-01-06 19:40:00,0.005,0.121,-0.3875533333333333,-0.33831999999999995,0.15019758617777776,0.11446042239999997,0.1311170437333333
1993-01-06 19:45:00,0.005,0.103,-0.3875533333333333,-0.35631999999999997,0.15019758617777776,0.12696394239999997,0.1380930037333333
1993-01-06 19:50:00,0.005,0.088,-0.3875533333333333,-0.37132,0.15019758617777776,0.1378785424,0.14390630373333332
1993-01-06 19:55:00,0.005,0.076,-0.3875533333333333,-0.38331999999999994,0.15019758617777776,0.14693422239999995,0.1485569437333333
1993-01-06 20:00:00,0.005,0.066,-0.3875533333333333,-0.39331999999999995,0.15019758617777776,0.15470062239999996,0.15243247706666663
1993-01-06 20:05:00,0.005,0.057,-0.3875533333333333,-0.40231999999999996,0.15019758617777776,0.16186138239999998,0.15592045706666663
1993-01-06 20:10:00,0.005,0.05,-0.3875533333333333,-0.40931999999999996,0.15019758617777776,0.16754286239999996,0.15863333039999997
1993-01-06 20:15:00,0.005,0.043,-0.3875533333333333,-0.41631999999999997,0.15019758617777776,0.17332234239999997,0.1613462037333333
1993-01-06 20:20:00,0.005,0.038,-0.3875533333333333,-0.42132,0.15019758617777776,0.17751054239999997,0.16328397039999998
1993-01-06 20:25:00,0.005,0.033,-0.3875533333333333,-0.4263199999999999,0.15019758617777776,0.18174874239999994,0.16522173706666662
1993-01-06 20:30:00,0.005,0.029,-0.3875533333333333,-0.4303199999999999,0.15019758617777776,0.18517530239999994,0.16677195039999995
1993-01-06 20:35:00,0.005,0.026,-0.3875533333333333,-0.4333199999999999,0.15019758617777776,0.18776622239999993,0.16793461039999996
1993-01-06 20:40:00,0.005,0.023,-0.3875533333333333,-0.43631999999999993,0.15019758617777776,0.19037514239999995,0.16909727039999997
