Date_Time,Q_recorded,Q_predicted_2,Q_abs_diff,Q_rel_diff
1993-01-06 17:35:00,0.002,0.0,0.002,1.0
1993-01-06 17:40:00,0.002,0.0,0.002,1.0
1993-01-06 17:45:00,0.002,0.0,0.002,1.0
1993-01-06 17:50:00,0.002,0.0,0.002,1.0
1993-01-06 17:55:00,0.285,0.0,0.285,1.0
1993-01-06 18:00:00,1.899,0.0,1.899,1.0
1993-01-06 18:05:00,1.899,0.031,1.868,0.9836756187467088
1993-01-06 18:10:00,1.04,0.176,0.8640000000000001,0.8307692307692308
1993-01-06 18:15:00,0.492,0.749,0.257,0.5223577235772358
1993-01-06 18:20:00,0.236,0.745,0.509,2.1567796610169494
1993-01-06 18:25:00,0.157,0.587,0.42999999999999994,2.7388535031847128
1993-01-06 18:30:00,0.1,0.464,0.364,3.6399999999999997
1993-01-06 18:35:00,0.061,0.378,0.317,5.19672131147541
1993-01-06 18:40:00,0.036,0.315,0.279,7.750000000000001
1993-01-06 18:45:00,0.018,0.271,0.253,14.055555555555557
1993-01-06 18:50:00,0.015,0.243,0.22799999999999998,15.2
1993-01-06 18:55:00,0.014,0.242,0.22799999999999998,16.285714285714285
1993-01-06 19:00:00,0.011,0.286,0.27499999999999997,25.0
1993-01-06 19:05:00,0.007,0.343,0.336,48.0
1993-01-06 19:10:00,0.007,0.342,0.335,47.85714285714286
1993-01-06 19:15:00,0.003,0.303,0.3,100.0
1993-01-06 19:20:00,0.005,0.256,0.251,50.199999999999996
1993-01-06 19:25:00,0.005,0.214,0.209,41.8
1993-01-06 19:30:00,0.005,0.18,0.175,35.0
1993-01-06 19:35:00,0.005,0.154,0.149,29.799999999999997
1993-01-06 19:40:00,0.005,0.132,0.127,25.4
1993-01-06 19:45:00,0.005,0.115,0.11,22.0
1993-01-06 19:50:00,0.005,0.1,0.095,19.0
1993-01-06 19:55:00,0.005,0.088,0.08299999999999999,16.599999999999998
1993-01-06 20:00:00,0.005,0.077,0.072,14.399999999999999
1993-01-06 20:05:00,0.005,0.068,0.063,12.6
1993-01-06 20:10:00,0.005,0.06,0.055,11.0
1993-01-06 20:15:00,0.005,0.054,0.049,9.8
1993-01-06 20:20:00,0.005,0.048,0.043000000000000003,8.6
1993-01-06 20:25:00,0.005,0.043,0.038,7.6
1993-01-06 20:30:00,0.005,0.038,0.033,6.6000000000000005
1993-01-06 20:35:00,0.005,0.035,0.030000000000000002,6.0
1993-01-06 20:40:00,0.005,0.031,0.026,5.199999999999999
1993-01-06 20:45:00,0.005,0.03,0.024999999999999998,4.999999999999999
1993-01-06 20:50:00,0.005,0.032,0.027,5.3999999999999995
1993-01-06 20:55:00,0.005,0.036,0.030999999999999996,6.199999999999999
1993-01-06 21:00:00,0.005,0.048,0.043000000000000003,8.6
1993-01-06 21:05:00,0.005,0.062,0.057,11.4
1993-01-06 21:10:00,0.005,0.072,0.06699999999999999,13.399999999999999
1993-01-06 21:15:00,0.005,0.079,0.074,14.799999999999999
1993-01-06 21:20:00,0.005,0.084,0.079,15.8
1993-01-06 21:25:00,0.005,0.09,0.08499999999999999,16.999999999999996
1993-01-06 21:30:00,0.032,0.099,0.067,2.09375
1993-01-06 21:35:00,0.916,0.109,0.807,0.881004366812227
1993-01-06 21:40:00,0.972,0.192,0.78,0.8024691358024691
1993-01-06 21:45:00,0.499,0.707,0.20799999999999996,0.41683366733466926
1993-01-06 21:50:00,0.331,1.354,1.0230000000000001,3.0906344410876136
1993-01-06 21:55:00,1.096,1.249,0.15300000000000002,0.1395985401459854
1993-01-06 22:00:00,8.768,1.027,7.7410000000000005,0.8828695255474452
1993-01-06 22:05:00,9.516,1.199,8.317,0.8740016813787306
1993-01-06 22:10:00,5.597,6.194,0.5969999999999995,0.10666428443809174
1993-01-06 22:15:00,3.898,8.382,4.484,1.1503335043612108
