Date_Time,Q_recorded,Q_predicted_2,Q_var_rec,Q_var_pre,Q_sqr_var_rec,Q_sqr_var_pre,Q_prod_var_rec_pre
1985-10-23 13:05:00,0.028,0.0,-0.520289156626506,-0.42293975903614456,0.2707008065031209,0.17887803977355202,0.22005097053273331
1985-10-23 13:10:00,0.028,0.0,-0.520289156626506,-0.42293975903614456,0.2707008065031209,0.17887803977355202,0.22005097053273331
1985-10-23 13:15:00,0.028,0.0,-0.520289156626506,-0.42293975903614456,0.2707008065031209,0.17887803977355202,0.22005097053273331
1985-10-23 13:20:00,0.028,0.0,-0.520289156626506,-0.42293975903614456,0.2707008065031209,0.17887803977355202,0.22005097053273331
1985-10-23 13:25:00,0.028,0.0,-0.520289156626506,-0.42293975903614456,0.2707008065031209,0.17887803977355202,0.22005097053273331
1985-10-23 13:30:00,0.029,0.0,-0.519289156626506,-0.42293975903614456,0.2696612281898679,0.17887803977355202,0.21962803077369716
1985-10-23 13:35:00,0.029,0.0,-0.519289156626506,-0.42293975903614456,0.2696612281898679,0.17887803977355202,0.21962803077369716
1985-10-23 13:40:00,0.029,0.0,-0.519289156626506,-0.42293975903614456,0.2696612281898679,0.17887803977355202,0.21962803077369716
1985-10-23 13:45:00,0.029,0.003,-0.519289156626506,-0.41993975903614456,0.2696612281898679,0.17634940121933515,0.21807016330381765
1985-10-23 13:50:00,0.029,0.008,-0.519289156626506,-0.41493975903614455,0.2696612281898679,0.1721750036289737,0.21547371752068512
1985-10-23 13:55:00,0.041,0.021,-0.507289156626506,-0.40193975903614454,0.25734228843083173,0.16155556989403394,0.2038996813761068
1985-10-23 14:00:00,0.305,0.13,-0.24328915662650602,-0.29293975903614455,0.05918961373203658,0.08581370242415444,0.0712690669182755
1985-10-23 14:05:00,1.497,0.677,0.9487108433734941,0.2540602409638555,0.9000522643344464,0.06454660603861231,0.24102970547249247
1985-10-23 14:10:00,1.682,1.108,1.133710843373494,0.6850602409638555,1.2853002763826389,0.46930753374945583,0.7766602235447816
1985-10-23 14:15:00,0.885,0.906,0.336710843373494,0.48306024096385547,0.1133741920452896,0.2333471964000581,0.162651621135143
1985-10-23 14:20:00,0.492,0.654,-0.05628915662650602,0.23106024096385547,0.0031684691537233267,0.053388834954274954,-0.013006186093772684
1985-10-23 14:25:00,0.269,0.477,-0.279289156626506,0.05406024096385542,0.078002433009145,0.0029225096530701117,-0.015098439105820873
1985-10-23 14:30:00,0.166,0.356,-0.382289156626506,-0.06693975903614457,0.1461449992742052,0.0044809313398170994,0.025590344026709243
1985-10-23 14:35:00,0.107,0.273,-0.44128915662650603,-0.14993975903614454,0.19473611975613297,0.022481931339817088,0.06616678980984175
1985-10-23 14:40:00,0.078,0.214,-0.470289156626506,-0.20893975903614456,0.2211718908404703,0.04365582290608215,0.09826210306285381
1985-10-23 14:45:00,0.044,0.171,-0.504289156626506,-0.2519397590361445,0.2543075534910727,0.06347364218319056,0.12705048860502247
1985-10-23 14:50:00,0.039,0.139,-0.509289156626506,-0.28393975903614455,0.25937544505733773,0.08062178676150383,0.14460744041225138
1985-10-23 14:55:00,0.036,0.114,-0.512289156626506,-0.30893975903614457,0.2624401799970968,0.09544377471331107,0.1582664886050225
1985-10-23 15:00:00,0.035,0.095,-0.513289156626506,-0.3279397590361446,0.2634657583103498,0.10754448555668457,0.16832792233996224
1985-10-23 15:05:00,0.035,0.08,-0.513289156626506,-0.34293975903614454,0.2634657583103498,0.11760767832776889,0.1760272596893598
1985-10-23 15:10:00,0.034,0.067,-0.514289156626506,-0.35593975903614455,0.2644933366236028,0.12669311206270864,0.18305595848454054
1985-10-23 15:15:00,0.039,0.057,-0.509289156626506,-0.36593975903614456,0.25937544505733773,0.13391190724343155,0.1863691512556249
1985-10-23 15:20:00,0.029,0.049,-0.519289156626506,-0.37393975903614457,0.2696612281898679,0.13983094338800986,0.19418286209899838
1985-10-23 15:25:00,0.028,0.042,-0.520289156626506,-0.3809397590361446,0.2707008065031209,0.14511510001451589,0.19819882595442007
1985-10-23 15:30:00,0.028,0.037,-0.520289156626506,-0.3859397590361446,0.2707008065031209,0.14894949760487733,0.2008002717375526
1985-10-23 15:35:00,0.028,0.032,-0.520289156626506,-0.39093975903614453,0.2707008065031209,0.15283389519523874,0.20340171752068512
1985-10-23 15:40:00,0.028,0.028,-0.520289156626506,-0.39493975903614453,0.2707008065031209,0.1559774132675279,0.20548287414719113
1985-10-23 15:45:00,0.028,0.024,-0.520289156626506,-0.39893975903614454,0.2707008065031209,0.15915293133981706,0.20756403077369717
1985-10-23 15:50:00,0.028,0.021,-0.520289156626506,-0.40193975903614454,0.2707008065031209,0.16155556989403394,0.2091248982435767
1985-10-23 15:55:00,0.028,0.019,-0.520289156626506,-0.40393975903614454,0.2707008065031209,0.16316732893017852,0.21016547655682968
1985-10-23 16:00:00,0.028,0.016,-0.520289156626506,-0.40693975903614454,0.2707008065031209,0.16559996748439537,0.2117263440267092
1985-10-23 16:05:00,0.028,0.014,-0.520289156626506,-0.40893975903614455,0.2707008065031209,0.16723172652053997,0.21276692233996222
1985-10-23 16:10:00,0.028,0.013,-0.520289156626506,-0.40993975903614455,0.2707008065031209,0.16805060603861224,0.21328721149658875
1985-10-23 16:15:00,0.028,0.011,-0.520289156626506,-0.41193975903614455,0.2707008065031209,0.16969436507475683,0.21432778980984174
1985-10-23 16:20:00,0.038,0.036,-0.510289156626506,-0.3869397590361446,0.26039502337059073,0.14972237712294964,0.19745116330381768
