event,simulation,relative_error,absolute_error,time_to_peak,time_to_centroid,sum_of_absolute_difference_abs,sum_of_absolute_difference_rel,sum_of_the_squared_error_abs,sum_of_the_squared_error_rel,mean_squared_error,root_mean_squared_error,mean_error,error_variance,nash_sutcliffe_efficiency,kling_gupta_efficiency,coefficient_of_variation,volume_variation
event_1,simulation_01,0.04607594936708856,0.2729999999999997,0 days 00:00:00,0 days 01:07:14.343644810,47.525999999999996,153.12591002094456,18.750470000000004,132.11399434063765,0.08047412017167384,0.28367960831133743,0.005476394849785407,0.08082099137931036,0.9284927816915598,1.0036851699881808,0.9446678492975843,414.45000000000437
event_1,simulation_02,0.13097046413502106,0.7759999999999998,0 days 00:00:00,0 days 01:09:30.871956781,63.533,165.14772377495137,41.282819,150.3233297343047,0.17717948068669528,0.42092693034147305,0.11744635193133048,0.17794318534482761,0.842562903723436,1.0190935813718067,0.9491792271027244,8241.000000000007
event_1,simulation_03,0.0015189873417720595,0.008999999999999453,0 days 00:00:00,0 days 01:10:44.170411204,48.519999999999996,159.49899731006363,20.363968000000003,144.23539503076574,0.08739900429184551,0.2956332259605566,0.026369098712446346,0.08777572413793105,0.9223395090681945,1.004325344532998,0.9478910528458336,1874.8499999999985
event_1,simulation_04,0.2776371308016877,1.6449999999999996,0 days 00:00:00,0 days 01:17:00.297946206,51.738,155.26830052693035,30.003048,131.8036208872618,0.12876844635193133,0.3588432058043336,-0.19078969957081543,0.12932348275862068,0.885579694628742,1.0466583377307337,0.9503435848387696,-13304.699999999997
event_2,simulation_01,0.0243902439024391,0.2900000000000009,0 days 00:00:00,0 days 00:02:19.610104132,14.844,82.91936540482455,9.340748,156.19373195513367,0.11253913253012048,0.33546852688459533,0.04812048192771083,0.11391156097560975,0.9646359888679008,1.0076975296890045,0.9654210064337561,1216.0499999999993
event_2,simulation_02,0.23406223717409597,2.7830000000000013,0 days 00:05:00,0 days 00:07:36.474314840,16.604000000000003,57.02452432293022,38.756628,62.48702402359381,0.4669473253012048,0.6833354412740531,-0.12534939759036148,0.47264180487804874,0.8532676586463284,1.024428413193409,0.8925454718618957,-3102.899999999998
event_2,simulation_03,0.13641715727502102,1.6219999999999999,0 days 00:05:00,0 days 00:03:17.293481326,20.162000000000003,92.14907021596574,21.583128000000002,181.7945614273557,0.26003768674698796,0.5099389049160575,0.07002409638554218,0.2632088780487805,0.9182864178695838,1.0204745281355505,0.920078063988531,1759.2000000000007
event_2,simulation_04,0.1741799831791421,2.0709999999999997,0 days 00:00:00,0 days 00:04:35.032517723,18.787,84.40552862215065,18.189669,151.5698880489562,0.21915263855421685,0.4681374141790174,0.030710843373493973,0.22182523170731705,0.9311340315566592,1.0078822246825416,0.9325891792580933,781.5
event_3,simulation_01,0.3488860865910047,3.3200000000000003,0 days 00:10:00,0 days 00:01:37.072975372,43.09100000000001,549.0629746414719,166.68338700000004,13352.991734114436,1.1112225800000002,1.054145426399982,-0.08687333333333337,1.1186804496644298,0.29954057784655075,0.9370672860473431,0.31486164162044633,-3903.300000000001
event_3,simulation_02,0.1191677175283733,1.1340000000000003,0 days 00:10:00,0 days 00:12:03.365606402,63.655,841.3912433141112,216.002299,26458.232799309695,1.4400153266666667,1.2000063860941186,0.10151333333333333,1.4496798590604025,0.09228599043672825,0.9529032998792805,0.31287635852135226,4574.0999999999985
event_3,simulation_03,0.21784363177805804,2.0730000000000004,0 days 00:10:00,0 days 00:15:41.978998145,57.257000000000005,730.4234426587378,195.06258900000003,19928.475136548615,1.3004172600000001,1.140358391033275,0.027739999999999963,1.3091448926174498,0.1802816655345757,0.9096878001352271,0.2928335318017592,1254.2999999999993
event_3,simulation_04,0.09720470786044565,0.9250000000000007,0 days 00:10:00,0 days 00:08:30.756908380,59.565,772.4652039409366,207.80824900000002,24560.226625278385,1.385388326666667,1.1770252022223937,0.06676666666666664,1.394686234899329,0.12672013310324637,0.9263239867177656,0.3083926344923105,3010.4999999999964
