Date_Time,Q_recorded,Q_predicted_2,Q_diff,Q_abs_diff
1997-10-07 08:37:00,0.078,0.001,-0.077,0.077
1997-10-07 08:42:00,0.078,0.01,-0.068,0.068
1997-10-07 08:47:00,0.078,0.012,-0.066,0.066
1997-10-07 08:52:00,0.13,0.029,-0.101,0.101
1997-10-07 08:57:00,0.323,0.159,-0.164,0.164
1997-10-07 09:02:00,0.496,0.263,-0.23299999999999998,0.23299999999999998
1997-10-07 09:07:00,0.422,0.302,-0.12,0.12
1997-10-07 09:12:00,0.386,0.332,-0.05399999999999999,0.05399999999999999
1997-10-07 09:17:00,0.422,0.395,-0.02699999999999997,0.02699999999999997
1997-10-07 09:22:00,0.499,0.506,0.007000000000000006,0.007000000000000006
1997-10-07 09:27:00,0.504,0.557,0.05300000000000005,0.05300000000000005
1997-10-07 09:32:00,0.438,0.544,0.10600000000000004,0.10600000000000004
1997-10-07 09:37:00,0.344,0.471,0.127,0.127
1997-10-07 09:42:00,0.265,0.394,0.129,0.129
1997-10-07 09:47:00,0.198,0.347,0.14899999999999997,0.14899999999999997
1997-10-07 09:52:00,0.157,0.32,0.163,0.163
1997-10-07 09:57:00,0.121,0.281,0.16000000000000003,0.16000000000000003
1997-10-07 10:02:00,0.097,0.236,0.13899999999999998,0.13899999999999998
1997-10-07 10:07:00,0.083,0.206,0.12299999999999998,0.12299999999999998
1997-10-07 10:12:00,0.078,0.188,0.11,0.11
1997-10-07 10:17:00,0.078,0.193,0.115,0.115
1997-10-07 10:22:00,0.078,0.184,0.106,0.106
1997-10-07 10:27:00,0.078,0.174,0.09599999999999999,0.09599999999999999
1997-10-07 10:32:00,0.078,0.177,0.09899999999999999,0.09899999999999999
1997-10-07 10:37:00,0.102,0.241,0.139,0.139
1997-10-07 10:42:00,0.22,0.401,0.18100000000000002,0.18100000000000002
1997-10-07 10:47:00,0.366,0.581,0.21499999999999997,0.21499999999999997
1997-10-07 10:52:00,0.496,0.773,0.277,0.277
1997-10-07 10:57:00,0.58,0.969,0.389,0.389
1997-10-07 11:02:00,0.695,1.141,0.44600000000000006,0.44600000000000006
1997-10-07 11:07:00,0.81,1.321,0.5109999999999999,0.5109999999999999
1997-10-07 11:12:00,0.922,1.594,0.672,0.672
1997-10-07 11:17:00,0.998,1.719,0.7210000000000001,0.7210000000000001
1997-10-07 11:22:00,0.928,1.514,0.586,0.586
1997-10-07 11:27:00,0.718,1.308,0.5900000000000001,0.5900000000000001
1997-10-07 11:32:00,0.54,1.174,0.6339999999999999,0.6339999999999999
1997-10-07 11:37:00,0.443,1.08,0.637,0.637
1997-10-07 11:42:00,0.371,1.014,0.643,0.643
1997-10-07 11:47:00,0.366,1.014,0.648,0.648
1997-10-07 11:52:00,0.443,1.071,0.6279999999999999,0.6279999999999999
1997-10-07 11:57:00,0.559,1.109,0.5499999999999999,0.5499999999999999
1997-10-07 12:02:00,0.695,1.256,0.561,0.561
1997-10-07 12:07:00,0.845,1.562,0.7170000000000001,0.7170000000000001
1997-10-07 12:12:00,0.941,1.783,0.842,0.842
1997-10-07 12:17:00,1.033,1.841,0.808,0.808
1997-10-07 12:22:00,1.152,2.077,0.925,0.925
1997-10-07 12:27:00,1.36,2.458,1.098,1.098
1997-10-07 12:32:00,1.65,2.765,1.1150000000000002,1.1150000000000002
1997-10-07 12:37:00,1.738,2.842,1.104,1.104
1997-10-07 12:42:00,1.747,2.822,1.075,1.075
1997-10-07 12:47:00,1.852,3.083,1.231,1.231
1997-10-07 12:52:00,1.98,3.357,1.3770000000000002,1.3770000000000002
1997-10-07 12:57:00,2.06,3.47,1.4100000000000001,1.4100000000000001
1997-10-07 13:02:00,2.29,3.718,1.428,1.428
1997-10-07 13:07:00,2.517,3.891,1.374,1.374
1997-10-07 13:12:00,2.77,4.151,1.3809999999999998,1.3809999999999998
1997-10-07 13:17:00,3.12,4.343,1.2229999999999999,1.2229999999999999
1997-10-07 13:22:00,3.38,4.422,1.0419999999999998,1.0419999999999998
1997-10-07 13:27:00,3.28,4.521,1.241,1.241
1997-10-07 13:32:00,2.99,4.097,1.1070000000000002,1.1070000000000002
1997-10-07 13:37:00,2.38,3.516,1.1360000000000001,1.1360000000000001
1997-10-07 13:42:00,2.1,3.154,1.0539999999999998,1.0539999999999998
1997-10-07 13:47:00,2.18,3.049,0.8689999999999998,0.8689999999999998
1997-10-07 13:52:00,3.03,3.853,0.8230000000000004,0.8230000000000004
1997-10-07 13:57:00,4.988,5.652,0.6639999999999997,0.6639999999999997
1997-10-07 14:02:00,5.925,6.701,0.7759999999999998,0.7759999999999998
1997-10-07 14:07:00,5.519,6.473,0.9539999999999997,0.9539999999999997
1997-10-07 14:12:00,4.792,5.469,0.6770000000000005,0.6770000000000005
1997-10-07 14:17:00,4.368,4.462,0.09399999999999942,0.09399999999999942
1997-10-07 14:22:00,3.18,3.5,0.31999999999999984,0.31999999999999984
1997-10-07 14:27:00,2.27,2.63,0.3599999999999999,0.3599999999999999
1997-10-07 14:32:00,1.73,2.087,0.3570000000000002,0.3570000000000002
1997-10-07 14:37:00,1.408,1.816,0.40800000000000014,0.40800000000000014
1997-10-07 14:42:00,1.272,1.688,0.4159999999999999,0.4159999999999999
1997-10-07 14:47:00,1.18,1.447,0.2670000000000001,0.2670000000000001
1997-10-07 14:52:00,0.991,1.13,0.1389999999999999,0.1389999999999999
1997-10-07 14:57:00,0.754,0.894,0.14,0.14
1997-10-07 15:02:00,0.586,0.718,0.132,0.132
1997-10-07 15:07:00,0.5,0.586,0.08599999999999997,0.08599999999999997
1997-10-07 15:12:00,0.422,0.485,0.063,0.063
1997-10-07 15:17:00,0.362,0.408,0.045999999999999985,0.045999999999999985
1997-10-07 15:22:00,0.318,0.345,0.02699999999999997,0.02699999999999997
1997-10-07 15:27:00,0.285,0.295,0.010000000000000009,0.010000000000000009
1997-10-07 15:32:00,0.269,0.254,-0.015000000000000013,0.015000000000000013
1997-10-07 15:37:00,0.254,0.22,-0.034,0.034
1997-10-07 15:42:00,0.24,0.193,-0.046999999999999986,0.046999999999999986
1997-10-07 15:47:00,0.22,0.169,-0.05099999999999999,0.05099999999999999
1997-10-07 15:52:00,0.204,0.149,-0.05499999999999999,0.05499999999999999
1997-10-07 15:57:00,0.191,0.137,-0.05399999999999999,0.05399999999999999
1997-10-07 16:02:00,0.191,0.139,-0.05199999999999999,0.05199999999999999
1997-10-07 16:07:00,0.198,0.155,-0.04300000000000001,0.04300000000000001
1997-10-07 16:12:00,0.254,0.201,-0.05299999999999999,0.05299999999999999
1997-10-07 16:17:00,0.386,0.361,-0.025000000000000022,0.025000000000000022
1997-10-07 16:22:00,0.708,0.725,0.017000000000000015,0.017000000000000015
1997-10-07 16:27:00,1.602,1.375,-0.2270000000000001,0.2270000000000001
1997-10-07 16:32:00,2.726,2.102,-0.6240000000000001,0.6240000000000001
1997-10-07 16:37:00,3.43,3.179,-0.25100000000000033,0.25100000000000033
1997-10-07 16:42:00,4.106,4.227,0.12100000000000044,0.12100000000000044
1997-10-07 16:47:00,4.106,4.67,0.5640000000000001,0.5640000000000001
1997-10-07 16:52:00,3.733,4.324,0.5909999999999997,0.5909999999999997
1997-10-07 16:57:00,2.594,3.11,0.516,0.516
1997-10-07 17:02:00,1.658,2.205,0.5470000000000002,0.5470000000000002
1997-10-07 17:07:00,1.145,1.71,0.565,0.565
1997-10-07 17:12:00,0.916,1.358,0.44200000000000006,0.44200000000000006
1997-10-07 17:17:00,0.766,1.139,0.373,0.373
1997-10-07 17:22:00,0.671,0.936,0.265,0.265
1997-10-07 17:27:00,0.57,0.751,0.18100000000000005,0.18100000000000005
1997-10-07 17:32:00,0.5,0.609,0.10899999999999999,0.10899999999999999
1997-10-07 17:37:00,0.432,0.502,0.07,0.07
1997-10-07 17:42:00,0.376,0.42,0.043999999999999984,0.043999999999999984
1997-10-07 17:47:00,0.336,0.354,0.01799999999999996,0.01799999999999996
1997-10-07 17:52:00,0.317,0.302,-0.015000000000000013,0.015000000000000013
1997-10-07 17:57:00,0.297,0.259,-0.03799999999999998,0.03799999999999998
1997-10-07 18:02:00,0.276,0.224,-0.05200000000000002,0.05200000000000002
1997-10-07 18:07:00,0.261,0.196,-0.065,0.065
1997-10-07 18:12:00,0.24,0.171,-0.06899999999999998,0.06899999999999998
1997-10-07 18:17:00,0.228,0.15,-0.07800000000000001,0.07800000000000001
1997-10-07 18:22:00,0.224,0.132,-0.092,0.092
1997-10-07 18:27:00,0.216,0.117,-0.09899999999999999,0.09899999999999999
1997-10-07 18:32:00,0.204,0.105,-0.09899999999999999,0.09899999999999999
1997-10-07 18:37:00,0.198,0.093,-0.10500000000000001,0.10500000000000001
1997-10-07 18:42:00,0.191,0.083,-0.108,0.108
1997-10-07 18:47:00,0.184,0.075,-0.109,0.109
1997-10-07 18:52:00,0.174,0.067,-0.10699999999999998,0.10699999999999998
1997-10-07 18:57:00,0.174,0.063,-0.11099999999999999,0.11099999999999999
1997-10-07 19:02:00,0.174,0.064,-0.10999999999999999,0.10999999999999999
1997-10-07 19:07:00,0.174,0.071,-0.103,0.103
1997-10-07 19:12:00,0.174,0.075,-0.09899999999999999,0.09899999999999999
1997-10-07 19:17:00,0.174,0.074,-0.09999999999999999,0.09999999999999999
