Date_Time,Q_recorded,Q_predicted_1,Q_predicted_2,Q_predicted_3,Q_predicted_4
1997-10-07 16:32:00,2.726,1.661,2.102,1.88,1.42
1997-10-07 16:37:00,3.43,2.514,3.179,2.871,2.117
1997-10-07 16:42:00,4.106,3.504,4.227,3.729,2.848
1997-10-07 16:47:00,4.106,3.913,4.67,4.13,3.056
1997-10-07 16:52:00,3.733,3.771,4.324,3.783,2.794
1997-10-07 16:57:00,2.594,2.796,3.11,2.7,1.905
1997-10-07 17:02:00,1.658,2.017,2.205,1.944,1.268
1997-10-07 17:07:00,1.145,1.561,1.71,1.489,0.913
1997-10-07 17:12:00,0.916,1.243,1.358,1.195,0.716
1997-10-07 17:17:00,0.766,1.047,1.139,0.997,0.574
1997-10-07 17:22:00,0.671,0.865,0.936,0.818,0.472
1997-10-07 17:27:00,0.57,0.696,0.751,0.656,0.371
1997-10-07 17:32:00,0.5,0.567,0.609,0.53,0.289
1997-10-07 17:37:00,0.432,0.467,0.502,0.435,0.229
1997-10-07 17:42:00,0.376,0.391,0.42,0.363,0.185
1997-10-07 17:47:00,0.336,0.329,0.354,0.305,0.151
1997-10-07 17:52:00,0.317,0.281,0.302,0.26,0.125
1997-10-07 17:57:00,0.297,0.242,0.259,0.222,0.104
1997-10-07 18:02:00,0.276,0.209,0.224,0.192,0.088
1997-10-07 18:07:00,0.261,0.181,0.196,0.167,0.075
1997-10-07 18:12:00,0.24,0.158,0.171,0.146,0.064
1997-10-07 18:17:00,0.228,0.139,0.15,0.128,0.055
1997-10-07 18:22:00,0.224,0.123,0.132,0.113,0.047
1997-10-07 18:27:00,0.216,0.109,0.117,0.1,0.041
1997-10-07 18:32:00,0.204,0.096,0.105,0.088,0.036
1997-10-07 18:37:00,0.198,0.086,0.093,0.079,0.031
1997-10-07 18:42:00,0.191,0.076,0.083,0.07,0.027
1997-10-07 18:47:00,0.184,0.068,0.075,0.063,0.024
1997-10-07 18:52:00,0.174,0.061,0.067,0.056,0.021
1997-10-07 18:57:00,0.174,0.056,0.063,0.05,0.02
1997-10-07 19:02:00,0.174,0.057,0.064,0.053,0.018
1997-10-07 19:07:00,0.174,0.059,0.071,0.061,0.021
1997-10-07 19:12:00,0.174,0.066,0.075,0.06,0.023
1997-10-07 19:17:00,0.174,0.065,0.074,0.059,0.024
1997-10-07 19:22:00,0.174,0.064,0.074,0.06,0.023
1997-10-07 19:27:00,0.174,0.062,0.07,0.058,0.025
1997-10-07 19:32:00,0.174,0.057,0.064,0.053,0.025
1997-10-07 19:37:00,0.175,0.051,0.057,0.048,0.024
1997-10-07 19:42:00,0.166,0.046,0.051,0.043,0.022
1997-10-07 19:47:00,0.151,0.041,0.045,0.038,0.019
1997-10-07 19:52:00,0.148,0.036,0.041,0.034,0.017
1997-10-07 19:57:00,0.148,0.032,0.036,0.03,0.015
1997-10-07 20:02:00,0.148,0.029,0.033,0.027,0.013
1997-10-07 20:07:00,0.148,0.026,0.029,0.024,0.011
1997-10-07 20:12:00,0.148,0.023,0.026,0.022,0.01
1997-10-07 20:17:00,0.148,0.021,0.024,0.02,0.008
1997-10-07 20:22:00,0.148,0.019,0.021,0.018,0.007
1997-10-07 20:27:00,0.148,0.017,0.019,0.016,0.007
1997-10-07 20:32:00,0.148,0.015,0.017,0.014,0.006
1997-10-07 20:37:00,0.148,0.014,0.016,0.013,0.005
1997-10-07 20:42:00,0.148,0.012,0.014,0.012,0.004
1997-10-07 20:47:00,0.148,0.011,0.013,0.011,0.004
1997-10-07 20:52:00,0.148,0.01,0.012,0.01,0.004
1997-10-07 20:57:00,0.148,0.009,0.011,0.009,0.003
1997-10-07 21:02:00,0.148,0.008,0.01,0.008,0.003
1997-10-07 21:07:00,0.148,0.007,0.009,0.007,0.003
1997-10-07 21:12:00,0.148,0.007,0.008,0.007,0.002
1997-10-07 21:17:00,0.148,0.006,0.008,0.006,0.002
1997-10-07 21:22:00,0.148,0.005,0.007,0.005,0.002
1997-10-07 21:27:00,0.148,0.005,0.007,0.005,0.002
1997-10-07 21:32:00,0.148,0.004,0.006,0.004,0.001
1997-10-07 21:37:00,0.148,0.004,0.006,0.004,0.001
1997-10-07 21:42:00,0.148,0.004,0.005,0.004,0.001
1997-10-07 21:47:00,0.148,0.003,0.005,0.003,0.001
1997-10-07 21:52:00,0.148,0.003,0.004,0.003,0.001
1997-10-07 21:57:00,0.148,0.003,0.004,0.003,0.001
1997-10-07 22:02:00,0.148,0.002,0.004,0.002,0.001
1997-10-07 22:07:00,0.148,0.002,0.004,0.002,0.001
1997-10-07 22:12:00,0.148,0.002,0.003,0.002,0.001
1997-10-07 22:17:00,0.148,0.002,0.003,0.002,0.001
1997-10-07 22:22:00,0.148,0.002,0.003,0.002,0.001
1997-10-07 22:27:00,0.148,0.001,0.003,0.002,0.001
1997-10-07 22:32:00,0.148,0.001,0.002,0.001,0.0
1997-10-07 22:37:00,0.148,0.001,0.002,0.001,0.0
1997-10-07 22:42:00,0.148,0.001,0.002,0.001,0.0
1997-10-07 22:47:00,0.148,0.001,0.002,0.001,0.0
1997-10-07 22:52:00,0.148,0.001,0.002,0.001,0.0
1997-10-07 22:57:00,0.148,0.001,0.002,0.001,0.0
1997-10-07 23:02:00,0.148,0.001,0.002,0.001,0.0
1997-10-07 23:07:00,0.148,0.001,0.001,0.001,0.0
1997-10-07 23:12:00,0.148,0.001,0.001,0.001,0.0
1997-10-07 23:17:00,0.148,0.0,0.001,0.001,0.0
1997-10-07 23:22:00,0.148,0.0,0.001,0.001,0.0
1997-10-07 23:27:00,0.148,0.0,0.001,0.0,0.0
1997-10-07 23:32:00,0.148,0.0,0.001,0.0,0.0
1997-10-07 23:37:00,0.148,0.0,0.001,0.0,0.0
1997-10-07 23:42:00,0.148,0.0,0.001,0.0,0.0
1997-10-07 23:47:00,0.148,0.0,0.001,0.0,0.0
1997-10-07 23:52:00,0.148,0.0,0.001,0.0,0.0
1997-10-07 23:57:00,0.148,0.0,0.001,0.0,0.0
1997-10-08 00:02:00,0.148,0.0,0.001,0.0,0.0
1997-10-08 00:07:00,0.148,0.0,0.0,0.0,0.0
1997-10-08 00:12:00,0.148,0.0,0.0,0.0,0.0
1997-10-08 00:17:00,0.148,0.0,0.0,0.0,0.0
1997-10-08 00:22:00,0.145,0.0,0.0,0.0,0.0
1997-10-08 00:27:00,0.142,0.0,0.0,0.0,0.0
1997-10-08 00:32:00,0.136,0.0,0.0,0.0,0.0
1997-10-08 00:37:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 00:42:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 00:47:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 00:52:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 00:57:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 01:02:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 01:07:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 01:12:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 01:17:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 01:22:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 01:27:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 01:32:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 01:37:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 01:42:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 01:47:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 01:52:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 01:57:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 02:02:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 02:07:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 02:12:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 02:17:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 02:22:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 02:27:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 02:32:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 02:37:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 02:42:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 02:47:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 02:52:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 02:57:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 03:02:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 03:07:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 03:12:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 03:17:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 03:22:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 03:27:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 03:32:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 03:37:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 03:42:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 03:47:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 03:52:00,0.133,0.0,0.0,0.0,0.0
1997-10-08 03:57:00,0.133,0.0,0.0,0.0,0.0
