t_min,t_sec,t_rel,y,q,Q
0.0,0.0,0.0,0.0,0.0,0.0
1.9047619047619049,114.28571428571429,0.0,0.0,0.0,0.0
3.0,180.0,65.71428571428571,0.0010952380952380949,1.1637175094074453e-05,0.0011637175094074454
6.0,360.0,245.71428571428572,0.0040952380952380945,0.00010482509407915472,0.010482509407915471
9.0,540.0,425.7142857142857,0.0070952380952380946,0.0002619861238701239,0.026198612387012394
12.0,720.0,605.7142857142857,0.010095238095238093,0.0004715498492227605,0.04715498492227605
15.0,900.0,785.7142857142857,0.013095238095238092,0.0007275379720194708,0.07275379720194708
18.0,1080.0,965.7142857142857,0.016095238095238093,0.00102603539439158,0.102603539439158
21.0,1260.0,1145.7142857142858,0.019095238095238092,0.001364190842263459,0.1364190842263459
24.0,1440.0,1325.7142857142858,0.02209523809523809,0.001739793923629192,0.17397939236291918
27.0,1620.0,1505.7142857142858,0.025095238095238094,0.002151058397050307,0.21510583970503072
30.0,1800.0,1685.7142857142858,0.028095238095238093,0.002596497217428274,0.2596497217428274
33.0,1980.0,1865.7142857142858,0.031095238095238092,0.0030748444048626475,0.3074844404862648
34.543040650127814,2072.5824390076687,1958.2967247219544,0.0326382787453659,0.003333333333333334,0.33333333333333337
36.0,2160.0,2045.7142857142858,0.0326382787453659,0.003333333333333334,0.33333333333333337
39.0,2340.0,2225.714285714286,0.0326382787453659,0.003333333333333334,0.33333333333333337
42.0,2520.0,2405.714285714286,0.0326382787453659,0.003333333333333334,0.33333333333333337
45.0,2700.0,2585.714285714286,0.0326382787453659,0.003333333333333334,0.33333333333333337
48.0,2880.0,2765.714285714286,0.0326382787453659,0.003333333333333334,0.33333333333333337
50.0,3000.0,2885.714285714286,0.032638278745365894,0.0033333333333333327,0.33333333333333326
51.0,3060.0,2945.714285714286,0.03164856014285965,0.003166576084843973,0.3166576084843973
54.0,3240.0,3125.714285714286,0.028805832683262356,0.002706869942552647,0.27068699425526466
57.0,3420.0,3305.714285714286,0.026159505363479576,0.0023052385830134832,0.23052385830134833
60.0,3600.0,3485.714285714286,0.023715540852864706,0.0019575899312747557,0.19575899312747558
63.0,3780.0,3665.714285714286,0.021476120161651964,0.0016593055865950059,0.1659305586595006
66.0,3960.0,3845.714285714286,0.019439349296427454,0.0014054094597971635,0.14054094597971634
69.0,4140.0,4025.714285714286,0.017599358325529578,0.0011907704703405183,0.11907704703405184
72.0,4320.0,4205.714285714285,0.015946779636176522,0.0010103107828105895,0.10103107828105895
75.0,4500.0,4385.714285714285,0.014469511157972029,0.0008591910908251651,0.08591910908251651
78.0,4680.0,4565.714285714285,0.013153622092420951,0.0007329521118046379,0.07329521118046378
81.0,4860.0,4745.714285714285,0.011984255680858535,0.0006276031432519895,0.06276031432519895
84.0,5040.0,4925.714285714285,0.01094641728921569,0.0005396597151895553,0.05396597151895553
87.0,5220.0,5105.714285714285,0.01002558621193225,0.0004661399156060939,0.046613991560609386
90.0,5400.0,5285.714285714285,0.009208136556862579,0.0004045320345998199,0.04045320345998199
93.0,5580.0,5465.714285714285,0.008481585325207631,0.0003527456978960907,0.03527456978960907
96.0,5760.0,5645.714285714285,0.007834702327682255,0.00030905622875002206,0.030905622875002207
99.0,5940.0,5825.714285714285,0.007257520359026453,0.00027204898171403455,0.027204898171403456
102.0,6120.0,6005.714285714285,0.006741280194945873,0.00024056768977530858,0.024056768977530858
105.0,6300.0,6185.714285714285,0.006278337846938732,0.0002136688126878595,0.02136688126878595
108.0,6480.0,6365.714285714285,0.005862053945570764,0.00019058249924399208,0.01905824992439921
111.0,6660.0,6545.714285714285,0.005486678554974215,0.00017067995850947128,0.017067995850947128
114.0,6840.0,6725.714285714285,0.005147239634659236,0.00015344661515202484,0.015344661515202484
117.0,7020.0,6905.714285714285,0.004839439726019547,0.00013846025974833504,0.013846025974833504
120.0,7200.0,7085.714285714285,0.004559562999793179,0.0001253733896901767,0.012537338969017668
123.0,7380.0,7265.714285714285,0.004304393259160243,0.00011389899822215026,0.011389899822215025
126.0,7560.0,7445.714285714285,0.004071142583925312,0.00010379916381908925,0.010379916381908924
129.0,7740.0,7625.714285714285,0.0038573898139009203,9.487589421572595e-05,0.009487589421572596
132.0,7920.0,7805.714285714285,0.003661027850801345,8.696377583413324e-05,0.008696377583413325
135.0,8100.0,7985.714285714285,0.003480218701743488,7.992406434603668e-05,0.007992406434603668
138.0,8280.0,8165.714285714285,0.0033133552236977015,7.363992399200496e-05,0.007363992399200495
141.0,8460.0,8345.714285714286,0.0031590286122020776,6.801258250473439e-05,0.006801258250473439
144.0,8640.0,8525.714285714286,0.003016000781882573,6.295821644417247e-05,0.006295821644417247
147.0,8820.0,8705.714285714286,0.002883180894686879,5.840542014909018e-05,0.005840542014909018
150.0,9000.0,8885.714285714286,0.0027596053953569863,5.429314202122381e-05,0.0054293142021223815
153.0,9180.0,9065.714285714286,0.0026444210081266054,5.056899599066658e-05,0.0050568995990666575
156.0,9360.0,9245.714285714286,0.002536870232208162,4.7187875048093624e-05,0.004718787504809362
159.0,9540.0,9425.714285714286,0.0024362789461365793,4.4110808729453065e-05,0.004411080872945307
162.0,9720.0,9605.714285714286,0.0023420457930906284,4.130401825769952e-05,0.004130401825769952
165.0,9900.0,9785.714285714286,0.0022536330719326453,3.873813236624355e-05,0.003873813236624355
168.0,10080.0,9965.714285714286,0.0021705589030442535,3.638753418908592e-05,0.003638753418908592
171.0,10260.0,10145.714285714286,0.002092390475232643,3.422981542648657e-05,0.0034229815426486568
174.0,10440.0,10325.714285714286,0.0020187382111022663,3.224531861383534e-05,0.003224531861383534
177.0,10620.0,10505.714285714286,0.0019492507142803667,3.041675199394146e-05,0.003041675199394146
180.0,10800.0,10685.714285714286,0.0018836103835796045,2.872886442122955e-05,0.002872886442122955
183.0,10980.0,10865.714285714286,0.001821529597286005,2.7168170067986818e-05,0.0027168170067986817
186.0,11160.0,11045.714285714286,0.0017627473858758166,2.5722714581032545e-05,0.0025722714581032547
189.0,11340.0,11225.714285714286,0.0017070265240945203,2.438187584835144e-05,0.0024381875848351444
192.0,11520.0,11405.714285714286,0.0016541509838957295,2.313619375488389e-05,0.002313619375488389
195.0,11700.0,11585.714285714286,0.0016039236985868417,2.1977224294130852e-05,0.002197722429413085
198.0,11880.0,11765.714285714286,0.0015561645959520983,2.089741420422473e-05,0.002089741420422473
201.0,12060.0,11945.714285714286,0.0015107088643622549,1.988999295051024e-05,0.001988999295051024
204.0,12240.0,12125.714285714286,0.001467405421132183,1.8948879410658554e-05,0.0018948879410658555
207.0,12420.0,12305.714285714286,0.0014261155568175937,1.806860105606114e-05,0.001806860105606114
210.0,12600.0,12485.714285714286,0.0013867117328858723,1.7244223783156105e-05,0.0017244223783156106
213.0,12780.0,12665.714285714286,0.001349076513366139,1.6471290845140346e-05,0.0016471290845140347
216.0,12960.0,12845.714285714286,0.0013131016137735423,1.574576957999833e-05,0.001574576957999833
219.0,13140.0,13025.714285714286,0.0012786870528897721,1.506400483438877e-05,0.001506400483438877
222.0,13320.0,13205.714285714286,0.001245740394930181,1.4422678152290293e-05,0.0014422678152290294
225.0,13500.0,13385.714285714286,0.0012141760712912311,1.3818771938565712e-05,0.0013818771938565713
228.0,13680.0,13565.714285714286,0.0011839147724948195,1.3249537925742854e-05,0.0013249537925742853
231.0,13860.0,13745.714285714286,0.0011548829021655839,1.2712469371372301e-05,0.0012712469371372302
234.0,14040.0,13925.714285714286,0.0011270120859246983,1.2205276496604135e-05,0.0012205276496604135
237.0,14220.0,14105.714285714286,0.0011002387289849953,1.1725864746817205e-05,0.0011725864746817206
240.0,14400.0,14285.714285714286,0.0010745036170093523,1.127231551443844e-05,0.001127231551443844
243.0,14580.0,14465.714285714286,0.0010497515554656184,1.0842869014316804e-05,0.0010842869014316804
246.0,14760.0,14645.714285714286,0.0010259310432923544,1.043590904465498e-05,0.001043590904465498
249.0,14940.0,14825.714285714286,0.0010029939771934479,1.004994940278212e-05,0.001004994940278212
252.0,15120.0,15005.714285714286,0.000980895383317295,9.683621755990321e-06,0.0009683621755990321
255.0,15300.0,15185.714285714286,0.0009595931734570736,9.335664794099931e-06,0.0009335664794099932
258.0,15480.0,15365.714285714286,0.0009390479232406151,9.004914513066143e-06,0.0009004914513066143
261.0,15660.0,15545.714285714286,0.0009192226700683212,8.690295498377354e-06,0.0008690295498377353
264.0,15840.0,15725.714285714286,0.0009000827288111604,8.390813093712713e-06,0.0008390813093712713
267.0,16020.0,15905.714285714286,0.0008815955235029964,8.1055463547321e-06,0.0008105546354732101
270.0,16200.0,16085.714285714286,0.0008637304334565198,7.833641700310128e-06,0.0007833641700310129
273.0,16380.0,16265.714285714286,0.000846458652403478,7.574307184285631e-06,0.0007574307184285631
276.0,16560.0,16445.714285714286,0.0008297530594108308,7.326807320123493e-06,0.0007326807320123494
279.0,16740.0,16625.714285714286,0.000813588100457535,7.090458398982311e-06,0.0007090458398982311
282.0,16920.0,16805.714285714286,0.0007979396796741929,6.8646242487237915e-06,0.0006864624248723791
285.0,17100.0,16985.714285714286,0.000782785059351731,6.648712387535864e-06,0.0006648712387535864
288.0,17280.0,17165.714285714286,0.0007681027679173402,6.442170531196788e-06,0.0006442170531196788
291.0,17460.0,17345.714285714286,0.0007538725151575421,6.244483417689262e-06,0.0006244483417689262
294.0,17640.0,17525.714285714286,0.0007400751140407806,6.055169916973184e-06,0.0006055169916973184
297.0,17820.0,17705.714285714286,0.000726692408556413,5.873780397320929e-06,0.0005873780397320929
300.0,18000.0,17885.714285714286,0.0007137072070444295,5.6998943227772965e-06,0.0005699894322777297
303.0,18180.0,18065.714285714286,0.00070110322054143,5.533118059084364e-06,0.0005533118059084364
306.0,18360.0,18245.714285714286,0.0006888650057141311,5.373082867859296e-06,0.0005373082867859297
309.0,18540.0,18425.714285714286,0.0006769779119925525,5.21944307097272e-06,0.000521944307097272
312.0,18720.0,18605.714285714286,0.0006654280325516213,5.071874368983288e-06,0.0005071874368983288
315.0,18900.0,18785.714285714286,0.0006542021588227391,4.930072299172512e-06,0.0004930072299172512
318.0,19080.0,18965.714285714286,0.000643287738246267,4.793750820219481e-06,0.00047937508202194814
321.0,19260.0,19145.714285714286,0.000632672835002324,4.662641011882275e-06,0.00046626410118822754
324.0,19440.0,19325.714285714286,0.0006223460934810589,4.536489879231547e-06,0.00045364898792315476
327.0,19620.0,19505.714285714286,0.0006122967042749567,4.415059252030308e-06,0.0004415059252030308
330.0,19800.0,19685.714285714286,0.000602514372495026,4.298124770787665e-06,0.0004298124770787665
333.0,19980.0,19865.714285714286,0.0005929892882301172,4.1854749518469045e-06,0.00041854749518469047
336.0,20160.0,20045.714285714286,0.0005837120989843371,4.076910324611552e-06,0.00040769103246115525
339.0,20340.0,20225.714285714286,0.000574673883941739,3.97224263467744e-06,0.000397224263467744
342.0,20520.0,20405.714285714286,0.0005658661299203192,3.871294107233192e-06,0.0003871294107233192
345.0,20700.0,20585.714285714286,0.0005572807088890208,3.7738967656242332e-06,0.00037738967656242333
348.0,20880.0,20765.714285714286,0.0005489098569319878,3.6798918004528476e-06,0.00036798918004528477
