t_sec,t_min,Q_Kinematic_model,Q_Pond_model
0.0,0.0,0.0,0.0
114.28571428571429,1.9047619047619049,0.0,0.0
120.0,2.0,1.9861764806747743e-05,1.986077864125525e-05
240.0,4.0,0.0034307491908821485,0.003402766172909851
360.0,6.0,0.010482509407915471,0.010264685578462041
480.0,8.0,0.02033844716210973,0.019561723052179108
600.0,10.0,0.03263743684169492,0.03070203072318184
720.0,12.0,0.04715498492227605,0.04322682378230982
840.0,14.0,0.06373197392917264,0.05675121300654456
960.0,16.0,0.08224711894445652,0.07094476217531748
1080.0,18.0,0.102603539439158,0.0855233201047807
1200.0,20.0,0.1247212638663549,0.10024457425263965
1320.0,22.0,0.14853264917691103,0.1149047749417652
1440.0,24.0,0.17397939236291918,0.1293357013931916
1560.0,26.0,0.20101048132734964,0.14340156108352675
1680.0,28.0,0.22958073375499272,0.15699576944774368
1800.0,30.0,0.2596497217428274,0.17003765993212563
1920.0,32.0,0.2911809593602495,0.18246920802023858
2040.0,34.0,0.32414127519676605,0.19425185402739473
2072.5824390076687,34.543040650127814,0.33333333333333337,0.197334674042945
2160.0,36.0,0.33333333333333337,0.20536081091537184
2280.0,38.0,0.33333333333333337,0.21579319100552366
2400.0,40.0,0.33333333333333337,0.22554885789788834
2520.0,42.0,0.33333333333333337,0.23463942549237599
2640.0,44.0,0.33333333333333337,0.24308342931360521
2760.0,46.0,0.33333333333333337,0.2509046218952678
2880.0,48.0,0.33333333333333337,0.2581305229938804
3000.0,50.0,0.33333333333333326,0.2647912045023445
3120.0,52.0,0.3006660872828604,0.24162856452146406
3240.0,54.0,0.27068699425526466,0.2212075560651625
3360.0,56.0,0.24329033600021022,0.20312447271906392
3480.0,58.0,0.2183576277155219,0.18704598262268293
3600.0,60.0,0.19575899312747558,0.17269507174320012
3720.0,62.0,0.17535507235294062,0.15984013104344888
3840.0,64.0,0.15699937554102944,0.1482864135225221
3960.0,66.0,0.14054094597971634,0.13786929414158522
4080.0,68.0,0.1258271626111356,0.12844891313849985
4200.0,70.0,0.11270650027328505,0.1199058894419963
4320.0,72.0,0.10103107828105895,0.11213786814938081
4440.0,74.0,0.0906588608010181,0.10505672275897039
4560.0,76.0,0.08145541850691022,0.09858627487636257
4680.0,78.0,0.07329521118046378,0.09266042551414529
4800.0,80.0,0.06606239694796642,0.08722161575222655
4920.0,82.0,0.059651209922065046,0.08221955246929835
5040.0,84.0,0.05396597151895553,0.07761014856842968
5160.0,86.0,0.048920811849971775,0.07335463767016463
5280.0,88.0,0.04443917847458563,0.06941883141635037
5400.0,90.0,0.04045320345998199,0.06577249389322065
5520.0,92.0,0.03690298915728104,0.062388812670619985
5640.0,94.0,0.03373586091018842,0.059243949885350804
5760.0,96.0,0.030905622875002207,0.05631665991105597
5880.0,98.0,0.028371842360083558,0.05358796263704471
6000.0,100.0,0.026099179119035944,0.05104086336289757
6120.0,102.0,0.024056768977530858,0.048660111910991684
6240.0,104.0,0.022217665911087304,0.04643199484731502
6360.0,106.0,0.02055834296533135,0.04434415574566666
6480.0,108.0,0.01905824992439921,0.04238543928109187
6600.0,110.0,0.01769942409946301,0.04054575563394043
6720.0,112.0,0.016466149775664237,0.038815962256750075
6840.0,114.0,0.015344661515202484,0.037187760526332235
6960.0,116.0,0.014322886505489569,0.03565360519208717
7080.0,118.0,0.013390221343085795,0.03420662485393275
7200.0,120.0,0.012537338969017668,0.03284055197148224
