key,value0,value1
catch_area,4,40000
width,400,400
length,100.0,100.0
slope,1.5,0.015
roughness,0.075,0.075
intensity,63,1.75e-05
duration,40,2400
ini_loss,2,0.002
cont_loss,3,8.333333333333333e-07
ini_loss_dur,1.9047619047619049,114.28571428571429
rainfall_excess,59.999999999999986,1.6666666666666664e-05
alpha,1.632993161855452,1.632993161855452
beta,1.6666666666666667,1.6666666666666667
time_conc_rel,16.044220799707137,962.6532479824282
time_conc_abs,17.94898270446904,1076.9389622681424
step,1.0,60
