t_min,t_sec,t_rel,y,q,Q,V
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0
1.6438356164383563,98.63013698630138,0.0,0.0,0.0,0.0,0.0
2.0,120.0,21.36986301369862,0.0004155251141552509,3.7784454962429206e-06,0.0015113781984971682,0.016148972531887542
3.0,180.0,81.36986301369862,0.0015821917808219175,3.508188384722473e-05,0.014032753538889891,0.48247292465349934
4.0,240.0,141.36986301369862,0.002748858447488584,8.808561553496342e-05,0.03523424621398537,1.960482917239757
5.0,300.0,201.36986301369862,0.003915525114155251,0.00015884286898491158,0.06353714759396463,4.923624731478257
6.0,360.0,261.3698630136986,0.0050821917808219165,0.0002453217845885969,0.09812871383543875,9.773600574360358
7.0,420.0,321.3698630136986,0.006248858447488583,0.0003461934480648119,0.13847737922592476,16.871783366201264
8.0,480.0,381.3698630136986,0.0074155251141552496,0.0004604907203951738,0.18419628815806952,26.55199338772109
9.0,540.0,441.3698630136986,0.008582191780821915,0.000587464180508747,0.2349856722034988,39.127452198568136
10.0,600.0,501.3698630136986,0.009748858447488582,0.0007265084004953762,0.2906033601981505,54.89512317061761
11.0,660.0,561.3698630136986,0.010915525114155248,0.0008771194767702267,0.3508477907080907,74.13865769780485
12.0,720.0,621.3698630136986,0.012082191780821915,0.001038868491528128,0.4155473966112512,97.1305133173851
13.0,780.0,681.3698630136986,0.013248858447488581,0.0012113839062258378,0.4845535624903351,124.13354209043268
14.0,840.0,741.3698630136986,0.014415525114155248,0.001394339330785186,0.5577357323140744,155.40222093456498
15.0,900.0,801.3698630136986,0.015582191780821915,0.0015874447107628673,0.6349778843051469,191.18362943314162
16.0,960.0,861.3698630136986,0.016748858447488583,0.0017904397852940431,0.7161759141176173,231.71824338582454
16.728648041769222,1003.7188825061532,905.0887455198518,0.017598947829552673,0.0019444444444444446,0.7777777777777778,264.37523634862885
17.0,1020.0,921.3698630136986,0.017598947829552673,0.0019444444444444446,0.7777777777777778,277.0383277327319
18.0,1080.0,981.3698630136986,0.017598947829552673,0.0019444444444444446,0.7777777777777778,323.7049943993986
19.0,1140.0,1041.3698630136987,0.017598947829552673,0.0019444444444444446,0.7777777777777778,370.37166106606526
