t_sec,t_min,Q_Kinematic_model,Q_Pond_model
0.0,0.0,0.0,0.0
114.28571428571429,1.9047619047619049,0.0,0.0
180.0,3.0,0.0023274350188148907,0.002313986469882657
360.0,6.0,0.020965018815830943,0.020080363328725374
540.0,9.0,0.05239722477402479,0.04746608165478615
720.0,12.0,0.0943099698445521,0.0795490781351377
900.0,15.0,0.14550759440389416,0.11294834070121887
1080.0,18.0,0.205207078878316,0.14534705049962326
1260.0,21.0,0.2728381684526918,0.17529897985367596
1406.279724241348,23.437995404022466,0.33333333333333337,0.19727778476836105
1440.0,24.0,0.33333333333333337,0.20201492052054243
1620.0,27.0,0.33333333333333337,0.22527036313390783
1800.0,30.0,0.33333333333333337,0.245090256095831
1980.0,33.0,0.33333333333333337,0.261720219611071
2160.0,36.0,0.33333333333333337,0.2755043235216844
2340.0,39.0,0.33333333333333337,0.28682060748321275
2520.0,42.0,0.33333333333333337,0.29604107935536716
2700.0,45.0,0.33333333333333337,0.3035093315494363
2880.0,48.0,0.33333333333333337,0.3095300024107716
3000.0,50.0,0.33333333333333326,0.31286379524937974
3060.0,51.0,0.3083258090652742,0.29043355456994085
3240.0,54.0,0.24246976739707768,0.23502591390473188
3420.0,57.0,0.18930965649361167,0.19338773949257573
3600.0,60.0,0.14725529612512273,0.16140592328314535
3780.0,63.0,0.11455174154407807,0.13637711790341386
3960.0,66.0,0.0894401298509421,0.11646965931821629
4140.0,69.0,0.07030201609817605,0.10040951174935268
4320.0,72.0,0.05575128406594473,0.0872900107304864
4500.0,75.0,0.044666011117229704,0.07645282178294864
4680.0,78.0,0.03617495523219383,0.06741132110659095
4860.0,81.0,0.029620191340943756,0.05980003247193841
5040.0,84.0,0.024513192776393983,0.05334050824543783
5220.0,87.0,0.020494221790326696,0.047817842544242546
5400.0,90.0,0.017298923639487578,0.04306420972876806
5580.0,93.0,0.014732585514610586,0.038947137011658334
5760.0,96.0,0.012651034067728113,0.035361024580334494
5940.0,99.0,0.010946753056351387,0.03222092996750251
6120.0,102.0,0.009538898418519523,0.02945795480157035
6300.0,105.0,0.008366141442314802,0.02701578118028381
6480.0,108.0,0.007381533695138848,0.024848043330213666
6660.0,111.0,0.006548807908746522,0.022916313306777705
6840.0,114.0,0.005839697609483136,0.021188543023383754
7020.0,117.0,0.005231981215300777,0.01963784885378509
7200.0,120.0,0.004708043719046733,0.018241555849756088
7380.0,123.0,0.004253810409929999,0.01698044045170108
7560.0,126.0,0.0038579498864425624,0.01583812622292199
7740.0,129.0,0.0035112734569307186,0.014800598476183577
7920.0,132.0,0.0032062788766277104,0.013855811953731261
8100.0,135.0,0.0029368010011310134,0.012993371842753934
8280.0,138.0,0.0026977422582249765,0.012204272965281697
8460.0,141.0,0.0024848631676020086,0.011480685401945774
8640.0,144.0,0.002294618375410109,0.010815777396214945
8820.0,147.0,0.0021240274404613715,0.010203568356970725
9000.0,150.0,0.0019705723421374497,0.00963880628965775
9180.0,153.0,0.0018321156759550452,0.009116865154215885
9360.0,156.0,0.00170683497074768,0.008633658555652558
9540.0,159.0,0.0015931696487489042,0.008185566882680463
9720.0,162.0,0.001489777960804959,0.007769375567715482
9900.0,165.0,0.001395501837831606,0.00738222258251757
10080.0,168.0,0.0013093380597988646,0.007021553634162282
10260.0,171.0,0.0012304144935101698,0.006685083805842238
10440.0,174.0,0.0011579704182582645,0.006370764611500868
10620.0,177.0,0.0010913401645970518,0.0060767556142489795
