t_min,t_sec,dt,i_prom,o_prom,y,Q
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9047619047619049,114.28571428571429,114.28571428571429,0.0,0.0,0.0,0.0
3.0,180.0,65.71428571428571,21.904761904761898,0.03812557830862116,0.0010933318163226637,0.0011603436876536876
6.0,360.0,180.0,59.999999999999986,1.027488375774081,0.0040419573975339585,0.010256193820947212
9.0,540.0,180.0,59.999999999999986,3.1649431994131105,0.006883710237563303,0.02490984172808735
12.0,720.0,180.0,59.999999999999986,6.129150227868984,0.009577252726169853,0.043191827470456925
15.0,900.0,180.0,59.999999999999986,9.62379414150196,0.012096063019094754,0.0637392185462315
18.0,1080.0,180.0,59.999999999999986,13.429287699957548,0.014424598634096876,0.08547508923107458
21.0,1260.0,180.0,59.999999999999986,17.371861136387253,0.016556005577277513,0.10754559006211713
24.0,1440.0,180.0,59.999999999999986,21.31536070614157,0.018490237541970433,0.12929175111723365
27.0,1620.0,180.0,59.999999999999986,25.156622412304845,0.02023240642135519,0.15022627568615352
30.0,1800.0,180.0,59.999999999999986,28.821227079670205,0.02179134506737168,0.17000958075462652
33.0,1980.0,180.0,59.999999999999986,32.25912094378284,0.023178389020182537,0.1884250963985162
34.543040650127814,2072.5824390076687,92.58243900766865,30.86081300255621,17.856469858596565,0.02382860617738052,0.19731695252541648
36.0,2160.0,87.41756099233135,29.139186997443776,17.599813370469455,0.024405574858729233,0.20534386689537226
39.0,2340.0,180.0,59.999999999999986,38.34829973970206,0.025488159871744128,0.22074835243465055
42.0,2520.0,180.0,59.999999999999986,40.985130589485394,0.026438903342269858,0.23464198744852044
45.0,2700.0,180.0,59.999999999999986,43.355056109179266,0.027271150536810895,0.24708085820902684
48.0,2880.0,180.0,59.999999999999986,45.47058609644918,0.027997621231988436,0.258147876195964
50.0,3000.0,120.0,39.99999999999999,31.37730355497789,0.02842875605423954,0.2648071830536674
51.0,3060.0,60.0,0.0,15.530086000527788,0.02765225175421315,0.25286235029725873
54.0,3240.0,180.0,0.0,42.66504394470701,0.025518999556977798,0.2211936935328191
57.0,3420.0,180.0,0.0,37.44090212991302,0.023646954450482146,0.1948163301328811
60.0,3600.0,180.0,0.0,33.07149406480634,0.021993379747241828,0.17264471503163378
63.0,3780.0,180.0,0.0,29.38486416505293,0.02052413653898918,0.15385377569117661
66.0,3960.0,180.0,0.0,26.24956890586169,0.019211658093696096,0.13780810104061994
69.0,4140.0,180.0,0.0,23.563850552881277,0.01803346556605203,0.12401246065806093
72.0,4320.0,180.0,0.0,21.24801999614259,0.0169710645662449,0.1120766504101901
75.0,4500.0,180.0,0.0,19.239010812682505,0.016009114025610775,0.10169013639739323
78.0,4680.0,180.0,0.0,17.486428343290754,0.015134792608446237,0.09260351186139296
81.0,4860.0,180.0,0.0,15.949644778384918,0.014337310369526991,0.08461476345399503
84.0,5040.0,180.0,0.0,14.595636910996816,0.01360752852397715,0.07755898000152514
87.0,5220.0,180.0,0.0,13.397358344327579,0.012937660606760772,0.07130055715767017
90.0,5400.0,180.0,0.0,12.33250113391699,0.012321035550064922,0.06572723321918528
93.0,5580.0,180.0,0.0,11.382544485077737,0.011751908325811035,0.060745483281678475
96.0,5760.0,180.0,0.0,10.532017318960131,0.011225307459863028,0.0562769313734341
99.0,5940.0,180.0,0.0,9.76792177709481,0.010736911371008288,0.05225553281650822
102.0,6120.0,180.0,0.0,9.079278966883983,0.010282947422664088,0.04862534459331382
105.0,6300.0,180.0,0.0,8.456768367984337,0.009860109004264872,0.04533874838428991
108.0,6480.0,180.0,0.0,7.892439590558845,0.00946548702473693,0.0423550248441417
111.0,6660.0,180.0,0.0,7.379480455474182,0.00909651300196322,0.039639202438904765
114.0,6840.0,180.0,0.0,6.912029236359245,0.008750911540145258,0.037161122409531275
117.0,7020.0,180.0,0.0,6.485021765967018,0.008426660451846908,0.03489467499010227
120.0,7200.0,180.0,0.0,6.09406624481005,0.008121957139606405,0.032817172174453846
123.0,7380.0,180.0,0.0,5.7353401960730865,0.00783519012980275,0.030908830004136002
126.0,7560.0,180.0,0.0,5.405505227857324,0.007564914868409885,0.02915233919427871
129.0,7740.0,180.0,0.0,5.1016361927642455,0.007309833058771672,0.02753250739199068
132.0,7920.0,180.0,0.0,4.82116204874828,0.007068774956334258,0.02603595981632355
135.0,8100.0,180.0,0.0,4.561816277409612,0.006840684142463777,0.024650887710449917
138.0,8280.0,180.0,0.0,4.321595145725976,0.0066246043851774785,0.023366836130949805
141.0,8460.0,180.0,0.0,4.098722433747402,0.006419668263490108,0.02217452424402133
