key,value
catch_area,20000
width,100
length,200.0
slope,0.01
roughness,0.1
intensity,1.75e-05
duration,3000
ini_loss,0.002
cont_loss,8.333333333333333e-07
ini_loss_dur,114.28571428571429
rainfall_excess,1.6666666666666664e-05
alpha,1.0
beta,1.6666666666666667
time_conc_rel,1958.2967247219542
time_conc_abs,2072.5824390076687
