t_min,t_sec,t_rel,y,q,Q
0.0,0.0,0.0,0.0,0.0,0.0
1.9047619047619049,114.28571428571429,0.0,0.0,0.0,0.0
3.0,180.0,65.71428571428571,0.0010952380952380949,1.1637175094074453e-05,0.0023274350188148907
6.0,360.0,245.71428571428572,0.0040952380952380945,0.00010482509407915472,0.020965018815830943
9.0,540.0,425.7142857142857,0.0070952380952380946,0.0002619861238701239,0.05239722477402479
12.0,720.0,605.7142857142857,0.010095238095238093,0.0004715498492227605,0.0943099698445521
15.0,900.0,785.7142857142857,0.013095238095238092,0.0007275379720194708,0.14550759440389416
18.0,1080.0,965.7142857142857,0.016095238095238093,0.00102603539439158,0.205207078878316
21.0,1260.0,1145.7142857142858,0.019095238095238092,0.001364190842263459,0.2728381684526918
23.437995404022466,1406.279724241348,1291.9940099556338,0.02153323349926056,0.0016666666666666668,0.33333333333333337
24.0,1440.0,1325.7142857142858,0.02153323349926056,0.0016666666666666668,0.33333333333333337
27.0,1620.0,1505.7142857142858,0.02153323349926056,0.0016666666666666668,0.33333333333333337
30.0,1800.0,1685.7142857142858,0.02153323349926056,0.0016666666666666668,0.33333333333333337
33.0,1980.0,1865.7142857142858,0.02153323349926056,0.0016666666666666668,0.33333333333333337
36.0,2160.0,2045.7142857142858,0.02153323349926056,0.0016666666666666668,0.33333333333333337
39.0,2340.0,2225.714285714286,0.02153323349926056,0.0016666666666666668,0.33333333333333337
42.0,2520.0,2405.714285714286,0.02153323349926056,0.0016666666666666668,0.33333333333333337
45.0,2700.0,2585.714285714286,0.02153323349926056,0.0016666666666666668,0.33333333333333337
48.0,2880.0,2765.714285714286,0.02153323349926056,0.0016666666666666668,0.33333333333333337
50.0,3000.0,2885.714285714286,0.021533233499260555,0.0016666666666666663,0.33333333333333326
51.0,3060.0,2945.714285714286,0.020548869329639025,0.0015416290453263708,0.3083258090652742
54.0,3240.0,3125.714285714286,0.017790025070274395,0.0012123488369853884,0.24246976739707768
57.0,3420.0,3305.714285714286,0.015335066480423324,0.0009465482824680583,0.18930965649361167
60.0,3600.0,3485.714285714286,0.01318938533660769,0.0007362764806256136,0.14725529612512273
63.0,3780.0,3665.714285714286,0.01134443889828022,0.0005727587077203904,0.11455174154407807
66.0,3960.0,3845.714285714286,0.009779157825243192,0.0004472006492547105,0.0894401298509421
69.0,4140.0,4025.714285714286,0.008463746952935126,0.0003515100804908802,0.07030201609817605
72.0,4320.0,4205.714285714285,0.00736435859047749,0.0002787564203297236,0.05575128406594473
75.0,4500.0,4385.714285714285,0.006447157864158878,0.00022333005558614852,0.044666011117229704
78.0,4680.0,4565.714285714285,0.005681026354666003,0.00018087477616096916,0.03617495523219383
81.0,4860.0,4745.714285714285,0.00503888815141814,0.00014810095670471878,0.029620191340943756
84.0,5040.0,4925.714285714285,0.004498025684110276,0.00012256596388196992,0.024513192776393983
87.0,5220.0,5105.714285714285,0.004039809272898647,0.00010247110895163348,0.020494221790326696
90.0,5400.0,5285.714285714285,0.0036491645864861542,8.649461819743789e-05,0.017298923639487578
93.0,5580.0,5465.714285714285,0.00331397619887103,7.366292757305293e-05,0.014732585514610586
96.0,5760.0,5645.714285714285,0.0030245280580822606,6.325517033864056e-05,0.012651034067728113
99.0,5940.0,5825.714285714285,0.00277302123483951,5.4733765281756936e-05,0.010946753056351387
102.0,6120.0,6005.714285714285,0.0025531770792247264,4.7694492092597615e-05,0.009538898418519523
105.0,6300.0,6185.714285714285,0.002359919148810703,4.183070721157401e-05,0.008366141442314802
108.0,6480.0,6365.714285714285,0.0021891220051209774,3.6907668475694243e-05,0.007381533695138848
111.0,6660.0,6545.714285714285,0.0020374143171482915,3.274403954373261e-05,0.006548807908746522
114.0,6840.0,6725.714285714285,0.0019020249873500192,2.9198488047415684e-05,0.005839697609483136
117.0,7020.0,6905.714285714285,0.001780662891523462,2.6159906076503887e-05,0.005231981215300777
120.0,7200.0,7085.714285714285,0.001671422695029981,2.3540218595233665e-05,0.004708043719046733
123.0,7380.0,7265.714285714285,0.0015727108408644874,2.1269052049649996e-05,0.004253810409929999
126.0,7560.0,7445.714285714285,0.0014831871418445302,1.9289749432212812e-05,0.0038579498864425624
129.0,7740.0,7625.714285714285,0.0014017184660191015,1.7556367284653594e-05,0.0035112734569307186
132.0,7920.0,7805.714285714285,0.0013273418235702954,1.6031394383138553e-05,0.0032062788766277104
135.0,8100.0,7985.714285714285,0.00125923479146942,1.4684005005655067e-05,0.0029368010011310134
138.0,8280.0,8165.714285714285,0.0011966916908524275,1.3488711291124882e-05,0.0026977422582249765
141.0,8460.0,8345.714285714286,0.0011391042961878773,1.2424315838010042e-05,0.0024848631676020086
144.0,8640.0,8525.714285714286,0.0010859461322923422,1.1473091877050544e-05,0.002294618375410109
147.0,8820.0,8705.714285714286,0.0010367596263101005,1.0620137202306857e-05,0.0021240274404613715
150.0,9000.0,8885.714285714286,0.0009911455430512335,9.852861710687248e-06,0.0019705723421374497
153.0,9180.0,9065.714285714286,0.0009487542557506178,9.160578379775226e-06,0.0018321156759550452
156.0,9360.0,9245.714285714286,0.0009092784995196579,8.5341748537384e-06,0.00170683497074768
159.0,9540.0,9425.714285714286,0.0008724473283792704,7.96584824374452e-06,0.0015931696487489042
162.0,9720.0,9605.714285714286,0.0008380210539413342,7.448889804024796e-06,0.001489777960804959
165.0,9900.0,9785.714285714286,0.0008057869884229084,6.97750918915803e-06,0.001395501837831606
168.0,10080.0,9965.714285714286,0.0007755558496556918,6.546690298994323e-06,0.0013093380597988646
171.0,10260.0,10145.714285714286,0.0007471587133030541,6.152072467550849e-06,0.0012304144935101698
174.0,10440.0,10325.714285714286,0.0007204444192967589,5.789852091291323e-06,0.0011579704182582645
177.0,10620.0,10505.714285714286,0.0006952773568342724,5.456700822985259e-06,0.0010913401645970518
180.0,10800.0,10685.714285714286,0.0006715355661142189,5.149697255363081e-06,0.0010299394510726162
183.0,10980.0,10865.714285714286,0.0006491091060844299,4.866269640021277e-06,0.0009732539280042554
186.0,11160.0,11045.714285714286,0.0006278986464149004,4.604147673233455e-06,0.000920829534646691
189.0,11340.0,11225.714285714286,0.0006078142491370142,4.361321762802249e-06,0.0008722643525604498
192.0,11520.0,11405.714285714286,0.0005887743112611786,4.136008492466656e-06,0.0008272016984933312
195.0,11700.0,11585.714285714286,0.0005707046444716236,3.92662124058052e-06,0.000785324248116104
198.0,11880.0,11765.714285714286,0.0005535376719148055,3.731745101469037e-06,0.0007463490202938074
201.0,12060.0,11945.714285714286,0.0005372117253163353,3.5501154115308273e-06,0.0007100230823061654
204.0,12240.0,12125.714285714286,0.000521670428315024,3.380599305859185e-06,0.0006761198611718371
207.0,12420.0,12305.714285714286,0.0005068621540982759,3.2221798311605564e-06,0.0006444359662321113
210.0,12600.0,12485.714285714286,0.0004927395472459846,3.0739422219173236e-06,0.0006147884443834647
213.0,12780.0,12665.714285714286,0.00047925910120850593,2.9350620128781342e-06,0.0005870124025756268
216.0,12960.0,12845.714285714286,0.0004663807841131752,2.8047947150487144e-06,0.0005609589430097428
219.0,13140.0,13025.714285714286,0.0004540677066574759,2.682466826753554e-06,0.0005364933653507108
222.0,13320.0,13205.714285714286,0.0004422858267412549,2.567467987908468e-06,0.0005134935975816936
225.0,13500.0,13385.714285714286,0.00043100368624448393,2.459244115867974e-06,0.0004918488231735947
228.0,13680.0,13565.714285714286,0.00042019217599475995,2.3572913862726342e-06,0.00047145827725452686
231.0,13860.0,13745.714285714286,0.00040982432550948643,2.2611509431679066e-06,0.00045223018863358133
234.0,14040.0,13925.714285714286,0.00039987511455742757,2.1704042400595093e-06,0.00043408084801190185
237.0,14220.0,14105.714285714286,0.0003903213039762525,2.084668928126318e-06,0.0004169337856252636
240.0,14400.0,14285.714285714286,0.00038114128351760456,2.0035952200279883e-06,0.0004007190440055977
243.0,14580.0,14465.714285714286,0.00037231493477816134,1.9268626680259986e-06,0.0003853725336051997
246.0,14760.0,14645.714285714286,0.00036382350752153087,1.8541773038131977e-06,0.00037083546076263955
249.0,14940.0,14825.714285714286,0.00035564950790789953,1.7852690947883052e-06,0.00035705381895766104
252.0,15120.0,15005.714285714286,0.0003477765973312732,1.7198896777392454e-06,0.0003439779355478491
255.0,15300.0,15185.714285714286,0.0003401895007223063,1.6578103361949699e-06,0.000331562067238994
258.0,15480.0,15365.714285714286,0.00033287392331171975,1.59882019221965e-06,0.00031976403844393
261.0,15660.0,15545.714285714286,0.00032581647496825666,1.542724587280246e-06,0.0003085449174560492
264.0,15840.0,15725.714285714286,0.00031900460132858676,1.4893436301215225e-06,0.0002978687260243045
267.0,16020.0,15905.714285714286,0.00031242652102675633,1.4385108924175576e-06,0.00028770217848351153
270.0,16200.0,16085.714285714286,0.0003060711684095239,1.3900722354071137e-06,0.00027801444708142276
273.0,16380.0,16265.714285714286,0.00029992814119281827,1.3438847528218989e-06,0.0002687769505643798
276.0,16560.0,16445.714285714286,0.00029398765257493794,1.2998158172318815e-06,0.0002599631634463763
279.0,16740.0,16625.714285714286,0.00028824048737512067,1.2577422185025704e-06,0.0002515484437005141
282.0,16920.0,16805.714285714286,0.0002826779618127422,1.2175493844211443e-06,0.00024350987688422887
285.0,17100.0,16985.714285714286,0.0002772918865834728,1.1791306747313955e-06,0.0002358261349462791
288.0,17280.0,17165.714285714286,0.00027207453292496666,1.1423867408470808e-06,0.00022847734816941616
291.0,17460.0,17345.714285714286,0.0002670186013966916,1.107224944410949e-06,0.00022144498888218981
294.0,17640.0,17525.714285714286,0.00026211719312685774,1.073558828650673e-06,0.0002147117657301346
297.0,17820.0,17705.714285714286,0.00025736378330454464,1.0413076371687984e-06,0.00020826152743375968
300.0,18000.0,17885.714285714286,0.00025275219671743647,1.010395875404795e-06,0.000202079175080959
303.0,18180.0,18065.714285714286,0.0002482765851554218,9.807529105348478e-07,0.00019615058210696956
306.0,18360.0,18245.714285714286,0.00024393140651797685,9.523126060387318e-07,0.00019046252120774636
309.0,18540.0,18425.714285714286,0.00023971140547900322,9.250129875714323e-07,0.00018500259751428645
312.0,18720.0,18605.714285714286,0.00023561159557685223,8.987959371371911e-07,0.00017975918742743822
315.0,18900.0,18785.714285714286,0.00023162724260983894,8.736069128816057e-07,0.00017472138257632115
318.0,19080.0,18965.714285714286,0.00022775384922880091,8.493946920985706e-07,0.0001698789384197141
321.0,19260.0,19145.714285714286,0.0002239871406283407,8.26111135297855e-07,0.00016522222705957099
324.0,19440.0,19325.714285714286,0.00022032305124744175,8.037109693999351e-07,0.00016074219387998703
327.0,19620.0,19505.714285714286,0.000216757712398274,7.82151588320773e-07,0.0001564303176641546
330.0,19800.0,19685.714285714286,0.00021328744074932245,7.61392869383618e-07,0.00015227857387672362
333.0,19980.0,19865.714285714286,0.00020990872759555208,7.413970041501112e-07,0.00014827940083002224
336.0,20160.0,20045.714285714286,0.0002066182288542629,7.221283424013826e-07,0.0001444256684802765
339.0,20340.0,20225.714285714286,0.00020341275573064523,7.035532481233314e-07,0.0001407106496246663
342.0,20520.0,20405.714285714286,0.00020028926600188486,6.856399664606523e-07,0.00013712799329213045
345.0,20700.0,20585.714285714286,0.0001972448558730484,6.683585007029247e-07,0.00013367170014058494
