t_min,t_sec,dt,i_prom,o_prom,y,Q
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9047619047619049,114.28571428571429,114.28571428571429,0.0,0.0,0.0,0.0
3.0,180.0,65.71428571428571,21.904761904761898,0.07603098401043015,0.0010914365460375733,0.002313986469882657
6.0,360.0,180.0,59.999999999999986,2.0154914818747227,0.0039906619719438366,0.020080363328725374
9.0,540.0,180.0,59.999999999999986,6.0791800485160365,0.006686702969518034,0.04746608165478615
12.0,720.0,180.0,59.999999999999986,11.431364381093148,0.009115134750463376,0.0795490781351377
15.0,900.0,180.0,59.999999999999986,17.32476769527209,0.01124889636569977,0.11294834070121887
18.0,1080.0,180.0,59.999999999999986,23.24658520807579,0.01308656710529598,0.14534705049962326
21.0,1260.0,180.0,59.999999999999986,28.85814273179693,0.014643659968706133,0.17529897985367596
23.437995404022466,1406.279724241348,146.27972424134805,48.759908080449335,27.25021319382261,0.01571914471303747,0.19727778476836105
24.0,1440.0,33.72027575865195,11.240091919550649,6.732130065379986,0.015944542805746004,0.20201492052054243
27.0,1620.0,180.0,59.999999999999986,38.45567552890053,0.017021759029300976,0.22527036313390783
30.0,1800.0,180.0,59.999999999999986,42.33245573067649,0.01790513624276715,0.245090256095831
33.0,1980.0,180.0,59.999999999999986,45.612942813621174,0.01862448910208609,0.261720219611071
36.0,2160.0,180.0,59.999999999999986,48.35020888194799,0.01920697865798869,0.2755043235216844
39.0,2340.0,180.0,59.999999999999986,50.60924379044074,0.019676516468466652,0.28682060748321275
42.0,2520.0,180.0,59.999999999999986,52.457551815472186,0.020053638877693042,0.29604107935536716
45.0,2700.0,180.0,59.999999999999986,53.95953698143232,0.020355662028621425,0.3035093315494363
48.0,2880.0,180.0,59.999999999999986,55.1735400564187,0.02059698502580049,0.3095300024107716
50.0,3000.0,120.0,39.99999999999999,37.34362785960908,0.020729803632820034,0.31286379524937974
51.0,3060.0,60.0,0.0,18.098920494579616,0.019824857608091054,0.29043355456994085
54.0,3240.0,180.0,0.0,47.29135216272054,0.01746028999995503,0.23502591390473188
57.0,3420.0,180.0,0.0,38.55722880575768,0.015532428559667145,0.19338773949257573
60.0,3600.0,180.0,0.0,31.931429649814895,0.0139358570771764,0.16140592328314535
63.0,3780.0,180.0,0.0,26.800473706790328,0.012595833391836883,0.13637711790341386
66.0,3960.0,180.0,0.0,22.756209949946715,0.011458022894339547,0.11646965931821629
69.0,4140.0,180.0,0.0,19.519125396081208,0.010482066624535486,0.10040951174935268
72.0,4320.0,180.0,0.0,16.892957023185517,0.00963741877337621,0.0872900107304864
75.0,4500.0,180.0,0.0,14.736854926209155,0.008900576027065753,0.07645282178294864
78.0,4680.0,180.0,0.0,12.947772860058565,0.008253187384062824,0.06741132110659095
81.0,4860.0,180.0,0.0,11.449021822067644,0.007680736292959442,0.05980003247193841
84.0,5040.0,180.0,0.0,10.182648664563862,0.007171603859731249,0.05334050824543783
87.0,5220.0,180.0,0.0,9.104251571071233,0.006716391281177687,0.047817842544242546
90.0,5400.0,180.0,0.0,8.179384704570955,0.0063074220459491395,0.04306420972876806
93.0,5580.0,180.0,0.0,7.3810212066383745,0.005938370985617221,0.038947137011658334
96.0,5760.0,180.0,0.0,6.687734543279355,0.005603984258453253,0.035361024580334494
99.0,5940.0,180.0,0.0,6.082375909305331,0.0052998654629879864,0.03222092996750251
102.0,6120.0,180.0,0.0,5.551099629216558,0.005022310481527159,0.02945795480157035
105.0,6300.0,180.0,0.0,5.082636238366875,0.004768178669608815,0.02701578118028381
108.0,6480.0,180.0,0.0,4.667744205944773,0.0045347914593115764,0.024848043330213666
111.0,6660.0,180.0,0.0,4.2987920973292235,0.004319851854445115,0.022916313306777705
114.0,6840.0,180.0,0.0,3.969437069714531,0.004121380000959388,0.021188543023383754
117.0,7020.0,180.0,0.0,3.6743752689451963,0.003937661237512128,0.01963784885378509
120.0,7200.0,180.0,0.0,3.4091464233187057,0.003767203916346193,0.018241555849756088
123.0,7380.0,180.0,0.0,3.1699796671311447,0.003608704932989636,0.01698044045170108
126.0,7560.0,180.0,0.0,2.953671000716076,0.003461021382953832,0.01583812622292199
129.0,7740.0,180.0,0.0,2.7574852229195006,0.003323147121807857,0.014800598476183577
132.0,7920.0,180.0,0.0,2.579076938692335,0.00319419327487324,0.013855811953731261
135.0,8100.0,180.0,0.0,2.4164265416836677,0.003073371947789057,0.012993371842753934
138.0,8280.0,180.0,0.0,2.2677880327232067,0.0029599825461528967,0.012204272965281697
141.0,8460.0,180.0,0.0,2.131646253050472,0.002853400233500373,0.011480685401945774
