Timestamp,Recorded_data,Simulated_data,dif,sq_dif,rel_sq_dif,dif_rec,dif_sim,sq_dif_rec,sq_dif_sim,prod_rec_sim,delta_time,rec_lft,rec_rgt,sim_lft,sim_rgt,ave_rec,ave_sim
1989-04-23 04:55:00,0.08032,0.523,0.44268,0.1959655824,30.376127214250563,-0.6461775735294117,-0.1269117647058824,0.4175454565323583,0.016106596020761255,0.08200753616998271,300.0,0.098,0.08032,0.755,0.523,26.748,191.70000000000002
1989-04-23 05:00:00,0.0681,0.377,0.3089,0.09541921,20.575082855177566,-0.6583975735294116,-0.2729117647058824,0.433487364829417,0.07448083131487893,0.1796844436699827,300.0,0.08032,0.0681,0.523,0.377,22.262999999999998,135.0
1989-04-23 05:05:00,0.0564,0.285,0.22859999999999997,0.052257959999999985,16.428361249434126,-0.6700975735294117,-0.36491176470588244,0.4490307580500053,0.1331605960207613,0.24452648808174743,300.0,0.0681,0.0564,0.377,0.285,18.675,99.29999999999998
1989-04-23 05:10:00,0.04597,0.232,0.18603000000000003,0.03460716090000001,16.37634445746342,-0.6805275735294117,-0.4179117647058824,0.4631177783338289,0.17465024307958485,0.28440047918468864,300.0,0.0564,0.04597,0.285,0.232,15.355499999999997,77.55
1989-04-23 05:15:00,0.0388,0.192,0.1532,0.02347024,15.59028589648209,-0.6876975735294117,-0.4579117647058824,0.47292795263824067,0.20968318425605542,0.3149048094788063,300.0,0.04597,0.0388,0.232,0.192,12.7155,63.60000000000001
1989-04-23 05:20:00,0.03205,0.157,0.12495,0.015612502500000002,15.199050333308184,-0.6944475735294117,-0.4929117647058824,0.48225743238088764,0.24296200778546714,0.34230137896410034,300.0,0.0388,0.03205,0.192,0.157,10.6275,52.349999999999994
1989-04-23 05:25:00,0.02935,0.127,0.09765,0.009535522500000001,11.06950712339183,-0.6971475735294117,-0.5229117647058824,0.4860147392779465,0.27343671366782013,0.3645466679346886,300.0,0.03205,0.02935,0.157,0.127,9.21,42.6
1989-04-23 05:30:00,0.028,0.119,0.091,0.008281,10.5625,-0.6984975735294117,-0.5309117647058824,0.48789886022647583,0.28186730190311426,0.3708405794052768,300.0,0.02935,0.028,0.127,0.119,8.6025,36.9
1989-04-23 05:35:00,0.028,0.122,0.094,0.008836,11.270408163265307,-0.6984975735294117,-0.5279117647058824,0.48789886022647583,0.278690831314879,0.3687450866846886,300.0,0.028,0.028,0.119,0.122,8.4,36.15
1989-04-23 05:40:00,0.02669,0.119,0.09231,0.0085211361,11.96190514828188,-0.6998075735294117,-0.5309117647058824,0.48973063996912297,0.28186730190311426,0.3715360738170415,300.0,0.028,0.02669,0.122,0.119,8.2035,36.15
1989-04-23 05:45:00,0.02669,0.106,0.07930999999999999,0.006290076099999999,8.829960324618543,-0.6998075735294117,-0.5439117647058824,0.48973063996912297,0.2958400077854672,0.3806335722729239,300.0,0.02669,0.02669,0.119,0.106,8.007,33.75
1989-04-23 05:50:00,0.02669,0.089,0.06231,0.0038825361,5.450274237842563,-0.6998075735294117,-0.5609117647058824,0.48973063996912297,0.31462200778546723,0.3925303010229239,300.0,0.02669,0.02669,0.106,0.089,8.007,29.25
1989-04-23 05:55:00,0.02538,0.073,0.047619999999999996,0.0022676643999999997,3.5204286492283403,-0.7011175735294117,-0.5769117647058825,0.49156585191177005,0.3328271842560555,0.40448297661115923,300.0,0.02669,0.02538,0.089,0.073,7.810499999999999,24.299999999999997
1989-04-23 06:00:00,0.02538,0.059,0.03362,0.0011303043999999999,1.7547376023140149,-0.7011175735294117,-0.5909117647058824,0.49156585191177005,0.34917671366782005,0.41429862264057093,300.0,0.02538,0.02538,0.073,0.059,7.614,19.8
1989-04-23 06:05:00,0.0388,0.048,0.0092,8.464e-05,0.056222765437347215,-0.6876975735294117,-0.6019117647058824,0.47292795263824067,0.3622977724913495,0.4139332600670415,300.0,0.02538,0.0388,0.059,0.048,9.627,16.05
1989-04-23 06:10:00,0.08474,0.039,-0.045739999999999996,0.0020921475999999997,0.29135025411135557,-0.6417575735294117,-0.6109117647058824,0.4118527831823582,0.3732131842560554,0.39205725175821793,300.0,0.0388,0.08474,0.048,0.039,18.531,13.049999999999999
1989-04-23 06:15:00,0.08695,0.032,-0.05495,0.0030195025,0.399389111745198,-0.6395475735294117,-0.6179117647058824,0.40902109880735826,0.38181494896193774,0.39518396977292386,300.0,0.08474,0.08695,0.039,0.032,25.753500000000003,10.65
1989-04-23 06:20:00,0.07394999999999999,0.026,-0.04794999999999999,0.0022992024999999995,0.4204369397848902,-0.6525475735294117,-0.6239117647058824,0.42581833571912303,0.38926589013840834,0.40713210815527684,300.0,0.08695,0.07394999999999999,0.032,0.026,24.134999999999998,8.7
1989-04-23 06:25:00,0.0603,0.022,-0.0383,0.00146689,0.40342510773935736,-0.6661975735294117,-0.6279117647058824,0.44381920697647587,0.3942731842560554,0.41831329403762973,300.0,0.07394999999999999,0.0603,0.026,0.022,20.137499999999996,7.2
1989-04-23 06:30:00,0.0415,0.03,-0.011500000000000003,0.00013225000000000007,0.07678908404703154,-0.6849975735294117,-0.6199117647058824,0.4692216757411818,0.38429059602076127,0.424638054625865,300.0,0.0603,0.0415,0.022,0.03,15.27,7.8
1989-04-23 06:35:00,0.03205,0.059,0.026949999999999995,0.0007263024999999997,0.7070684699462857,-0.6944475735294117,-0.5909117647058824,0.48225743238088764,0.34917671366782005,0.4103572411699826,300.0,0.0415,0.03205,0.03,0.059,11.0325,13.35
1989-04-23 06:40:00,0.028,0.096,0.068,0.0046240000000000005,5.89795918367347,-0.6984975735294117,-0.5539117647058824,0.48789886022647583,0.3068182430795849,0.38690602359645326,300.0,0.03205,0.028,0.059,0.096,9.0075,23.25
1989-04-23 06:45:00,0.02538,0.117,0.09162000000000001,0.0083942244,13.03158794829234,-0.7011175735294117,-0.5329117647058824,0.49156585191177005,0.2839949489619378,0.3736338033758651,300.0,0.028,0.02538,0.096,0.117,8.007,31.950000000000003
1989-04-23 06:50:00,0.02538,0.113,0.08762,0.007677264400000001,11.918545593193079,-0.7011175735294117,-0.5369117647058824,0.49156585191177005,0.2882742430795848,0.3764382736699827,300.0,0.02538,0.02538,0.117,0.113,7.614,34.5
1989-04-23 06:55:00,0.02538,0.097,0.07162,0.005129424400000001,7.96315919225565,-0.7011175735294117,-0.5529117647058824,0.49156585191177005,0.3057114195501731,0.3876561548464533,300.0,0.02538,0.02538,0.113,0.097,7.614,31.500000000000004
1989-04-23 07:00:00,0.02669,0.08,0.05331,0.0028419561000000006,3.9895160580501816,-0.6998075735294117,-0.5699117647058825,0.48973063996912297,0.3247994195501731,0.3988285691846886,300.0,0.02538,0.02669,0.097,0.08,7.810499999999999,26.549999999999997
1989-04-23 07:05:00,0.02669,0.065,0.038310000000000004,0.0014676561000000004,2.0602843156674036,-0.6998075735294117,-0.5849117647058824,0.48973063996912297,0.3421217724913495,0.4093256827876297,300.0,0.02669,0.02669,0.08,0.065,8.007,21.750000000000004
1989-04-23 07:10:00,0.02669,0.052,0.02531,0.0006405960999999999,0.8992638653617201,-0.6998075735294117,-0.5979117647058824,0.48973063996912297,0.3574984783737024,0.4184231812435121,300.0,0.02669,0.02669,0.065,0.052,8.007,17.549999999999997
1989-04-23 07:15:00,0.02669,0.044,0.01731,0.00029963609999999997,0.42062684660101873,-0.6998075735294117,-0.6059117647058824,0.48973063996912297,0.3671290666089966,0.4240216418317474,300.0,0.02669,0.02669,0.052,0.044,8.007,14.4
1989-04-23 07:20:00,0.02669,0.039,0.012310000000000001,0.00015153610000000003,0.21272520864213848,-0.6998075735294117,-0.6109117647058824,0.48973063996912297,0.3732131842560554,0.42752067969939445,300.0,0.02669,0.02669,0.044,0.039,8.007,12.45
1989-04-23 07:25:00,0.02669,0.038,0.01131,0.0001279161,0.17956763478265997,-0.6998075735294117,-0.6119117647058824,0.48973063996912297,0.37443600778546715,0.42822048727292383,300.0,0.02669,0.02669,0.039,0.038,8.007,11.55
1989-04-23 07:30:00,0.02669,0.044,0.01731,0.00029963609999999997,0.42062684660101873,-0.6998075735294117,-0.6059117647058824,0.48973063996912297,0.3671290666089966,0.4240216418317474,300.0,0.02669,0.02669,0.038,0.044,8.007,12.299999999999999
1989-04-23 07:35:00,0.028,0.053,0.024999999999999998,0.0006249999999999999,0.7971938775510203,-0.6984975735294117,-0.5969117647058824,0.48789886022647583,0.35630365484429066,0.4169414192582179,300.0,0.02669,0.028,0.044,0.053,8.2035,14.55
1989-04-23 07:40:00,0.028,0.057,0.029,0.0008410000000000001,1.0727040816326532,-0.6984975735294117,-0.5929117647058824,0.48789886022647583,0.35154436072664363,0.4141474289641003,300.0,0.028,0.028,0.053,0.057,8.4,16.5
1989-04-23 07:45:00,0.028,0.055,0.027,0.0007289999999999999,0.9298469387755103,-0.6984975735294117,-0.5949117647058824,0.48789886022647583,0.3539200077854671,0.4155444241111591,300.0,0.028,0.028,0.057,0.055,8.4,16.8
1989-04-23 07:50:00,0.028,0.048,0.02,0.0004,0.5102040816326531,-0.6984975735294117,-0.6019117647058824,0.48789886022647583,0.3622977724913495,0.420433907125865,300.0,0.028,0.028,0.055,0.048,8.4,15.450000000000001
1989-04-23 07:55:00,0.7949,0.041,-0.7539,0.5683652100000001,0.8995027442606067,0.06840242647058836,-0.6089117647058824,0.0046788919470642475,0.3707735371972319,-0.04165104221237032,300.0,0.028,0.7949,0.048,0.041,123.43500000000002,13.35
1989-04-23 08:00:00,0.6552,0.033,-0.6222,0.38713284,0.9018041634799876,-0.07129757352941168,-0.6169117647058824,0.0050833439911818655,0.380580125432526,0.04398431190527677,300.0,0.7949,0.6552,0.041,0.033,217.515,11.100000000000001
1989-04-23 08:05:00,0.8399,0.027,-0.8129,0.66080641,0.9367400410423679,0.11340242647058829,-0.6229117647058824,0.012860110329417184,0.3880190666089966,-0.07063970559472323,300.0,0.6552,0.8399,0.033,0.027,224.265,9.0
