Timestamp,Recorded_data,Simulated_data,dif,abs_dif,sq_dif,rel_sq_dif,dif_rec,dif_sim,sq_dif_rec,sq_dif_sim,prod_rec_sim,delta_time,rec_lft,rec_rgt,sim_lft,sim_rgt,ave_rec,ave_sim
1989-04-23 04:30:00,0.22949999999999998,0.192,-0.03749999999999998,0.03749999999999998,0.0014062499999999984,0.026699132812166234,-0.5195746323529411,-0.4579117647058824,0.26995779858469393,0.20968318425605542,0.23791933679714533,300.0,0.3656,0.22949999999999998,0.232,0.192,89.265,63.60000000000001
1989-04-23 04:35:00,0.181,0.157,-0.023999999999999994,0.023999999999999994,0.0005759999999999997,0.017581880894966567,-0.5680746323529411,-0.4929117647058824,0.3227087879229292,0.24296200778546714,0.2800106695177335,300.0,0.22949999999999998,0.181,0.192,0.157,61.574999999999996,52.349999999999994
1989-04-23 04:40:00,0.1325,0.127,-0.005500000000000005,0.005500000000000005,3.0250000000000054e-05,0.0017230331078675713,-0.6165746323529411,-0.5229117647058824,0.3801642772611645,0.27343671366782013,0.3224141290765571,300.0,0.181,0.1325,0.157,0.127,47.025,42.6
1989-04-23 04:45:00,0.109,0.119,0.009999999999999995,0.009999999999999995,9.99999999999999e-05,0.008416799932665591,-0.6400746323529412,-0.5309117647058824,0.40969553498175276,0.28186730190311426,0.3398231526059689,300.0,0.1325,0.109,0.127,0.119,36.225,36.9
1989-04-23 04:50:00,0.098,0.122,0.023999999999999994,0.023999999999999994,0.0005759999999999997,0.05997501041232815,-0.6510746323529412,-0.5279117647058824,0.4238981768935175,0.278690831314879,0.3437099581206748,300.0,0.109,0.098,0.119,0.122,31.050000000000004,36.15
1989-04-23 04:55:00,0.08032,0.119,0.03867999999999999,0.03867999999999999,0.0014961423999999995,0.23191323352010276,-0.6687546323529412,-0.5309117647058824,0.44723275829351755,0.28186730190311426,0.3550497020177336,300.0,0.098,0.08032,0.122,0.119,26.748,36.15
1989-04-23 05:00:00,0.0681,0.106,0.0379,0.0379,0.0014364100000000002,0.3097306586797942,-0.6809746323529411,-0.5439117647058824,0.46372644990822326,0.2958400077854672,0.3703901140030277,300.0,0.08032,0.0681,0.119,0.106,22.262999999999998,33.75
1989-04-23 05:05:00,0.0564,0.089,0.0326,0.0326,0.0010627599999999998,0.3341003973643177,-0.6926746323529411,-0.5609117647058824,0.47979814630528217,0.31462200778546723,0.38852935040008657,300.0,0.0681,0.0564,0.106,0.089,18.675,29.25
1989-04-23 05:10:00,0.04597,0.073,0.02703,0.02703,0.0007306209,0.3457347905768813,-0.7031046323529412,-0.5769117647058825,0.4943561240361646,0.3328271842560555,0.40562933422361597,300.0,0.0564,0.04597,0.089,0.073,15.355499999999997,24.299999999999997
1989-04-23 05:15:00,0.0388,0.059,0.020199999999999996,0.020199999999999996,0.0004080399999999998,0.27104368158146447,-0.7102746323529412,-0.5909117647058824,0.5044900533641058,0.34917671366782005,0.41970963642949827,300.0,0.04597,0.0388,0.073,0.059,12.7155,19.8
1989-04-23 05:20:00,0.03205,0.048,0.01595,0.01595,0.0002544025,0.2476653824343301,-0.7170246323529411,-0.6019117647058824,0.5141243234008703,0.3622977724913495,0.4315855617971453,300.0,0.0388,0.03205,0.059,0.048,10.6275,16.05
1989-04-23 05:25:00,0.02935,0.039,0.009649999999999999,0.009649999999999999,9.312249999999997e-05,0.10810316656460675,-0.7197246323529412,-0.6109117647058824,0.5180035464155763,0.3732131842560554,0.4396882452530277,300.0,0.03205,0.02935,0.048,0.039,9.21,13.049999999999999
1989-04-23 05:30:00,0.028,0.032,0.004,0.004,1.6e-05,0.02040816326530612,-0.7210746323529411,-0.6179117647058824,0.5199486254229292,0.38181494896193774,0.4455604985618512,300.0,0.02935,0.028,0.039,0.032,8.6025,10.65
1989-04-23 05:35:00,0.028,0.026,-0.0020000000000000018,0.0020000000000000018,4.0000000000000074e-06,0.00510204081632654,-0.7210746323529411,-0.6239117647058824,0.5199486254229292,0.38926589013840834,0.4498869463559688,300.0,0.028,0.028,0.032,0.026,8.4,8.7
1989-04-23 05:40:00,0.02669,0.022,-0.00469,0.00469,2.1996099999999998e-05,0.030877955561832066,-0.7223846323529411,-0.6279117647058824,0.521839557059694,0.3942731842560554,0.4535938092971453,300.0,0.028,0.02669,0.026,0.022,8.2035,7.2
1989-04-23 05:45:00,0.02669,0.03,0.0033100000000000004,0.0033100000000000004,1.0956100000000003e-05,0.015380088694404392,-0.7223846323529411,-0.6199117647058824,0.521839557059694,0.38429059602076127,0.4478147322383218,300.0,0.02669,0.02669,0.022,0.03,8.007,7.8
1989-04-23 05:50:00,0.02669,0.059,0.03231,0.03231,0.0010439361,1.465469447092543,-0.7223846323529411,-0.5909117647058824,0.521839557059694,0.34917671366782005,0.4268655779000865,300.0,0.02669,0.02669,0.03,0.059,8.007,13.35
1989-04-23 05:55:00,0.02538,0.096,0.07062,0.07062,0.0049871844000000005,7.742339140105853,-0.7236946323529412,-0.5539117647058824,0.5237339208964586,0.3068182430795849,0.40086297091479245,300.0,0.02669,0.02538,0.059,0.096,7.810499999999999,23.25
1989-04-23 06:00:00,0.02538,0.117,0.09162000000000001,0.09162000000000001,0.0083942244,13.03158794829234,-0.7236946323529412,-0.5329117647058824,0.5237339208964586,0.2839949489619378,0.38566538363538067,300.0,0.02538,0.02538,0.096,0.117,7.614,31.950000000000003
1989-04-23 06:05:00,0.0388,0.113,0.0742,0.0742,0.00550564,3.657163354235307,-0.7102746323529412,-0.5369117647058824,0.5044900533641058,0.2882742430795848,0.3813548062824395,300.0,0.02538,0.0388,0.117,0.113,9.627,34.5
1989-04-23 06:10:00,0.08474,0.097,0.012260000000000007,0.012260000000000007,0.00015030760000000017,0.02093167683526155,-0.6643346323529411,-0.5529117647058824,0.4413405037435174,0.3057114195501731,0.36731843392949826,300.0,0.0388,0.08474,0.113,0.097,18.531,31.500000000000004
1989-04-23 06:15:00,0.08695,0.08,-0.006949999999999998,0.006949999999999998,4.830249999999997e-05,0.006388963933652123,-0.6621246323529412,-0.5699117647058825,0.4384090287685175,0.3247994195501731,0.37735261767949835,300.0,0.08474,0.08695,0.097,0.08,25.753500000000003,26.549999999999997
1989-04-23 06:20:00,0.07394999999999999,0.065,-0.008949999999999986,0.008949999999999986,8.010249999999975e-05,0.014647709355360859,-0.6751246323529412,-0.5849117647058824,0.455793269209694,0.3421217724913495,0.39488834010596885,300.0,0.08695,0.07394999999999999,0.08,0.065,24.134999999999998,21.750000000000004
1989-04-23 06:25:00,0.0603,0.052,-0.008300000000000002,0.008300000000000002,6.889000000000003e-05,0.018946175699721415,-0.6887746323529411,-0.5979117647058824,0.4744104941729292,0.3574984783737024,0.4118264559147924,300.0,0.07394999999999999,0.0603,0.065,0.052,20.137499999999996,17.549999999999997
1989-04-23 06:30:00,0.0415,0.044,0.0024999999999999953,0.0024999999999999953,6.249999999999977e-06,0.0036289737262302077,-0.7075746323529412,-0.6059117647058824,0.5006618603493999,0.3671290666089966,0.4287277941500865,300.0,0.0603,0.0415,0.052,0.044,15.27,14.4
1989-04-23 06:35:00,0.03205,0.039,0.006949999999999998,0.006949999999999998,4.830249999999997e-05,0.04702334739255402,-0.7170246323529411,-0.6109117647058824,0.5141243234008703,0.3732131842560554,0.43803878348832176,300.0,0.0415,0.03205,0.044,0.039,11.0325,12.45
1989-04-23 06:40:00,0.028,0.038,0.009999999999999998,0.009999999999999998,9.999999999999996e-05,0.12755102040816324,-0.7210746323529411,-0.6119117647058824,0.5199486254229292,0.37443600778546715,0.44123405076773353,300.0,0.03205,0.028,0.039,0.038,9.0075,11.55
