shift_time,re,ae,ttp,ttc,sad_abs,sad_rel,ssd_abs,ssd_rel,mse,rmse,me,mae,pbias,s2,nse,kge,r2,vol_dif,vol_dif_rel
shift_00_min,4.407417360924486,0.3280000000000003,-75.0,-53.5616965888,120.45311000000004,500.94671923073446,476.9569092307,8985.018978043254,3.507036097284559,1.8727082253476004,-0.0954324264705882,0.8856846323529416,12.803806295176894,3.53301414244963,-0.5057736523662146,0.1253872568016563,0.0182248837491012,-5650.364999999998,-0.1747920379790828
shift_05_min,4.407417360924486,0.3280000000000003,-70.0,-48.993849742933335,115.16439000000004,443.4543736287434,465.8259082663,7570.693997900437,3.425190501958088,1.850727019837904,-0.0963855147058823,0.8467969852941178,12.915163617084852,3.4505622834540737,-0.4714186301885017,0.1453197451187586,0.0241172023049958,-5622.050999999996,-0.1740686182671745
shift_10_min,4.407417360924486,0.3280000000000003,-65.0,-44.390231850666666,110.09166000000002,395.4356657867632,446.2154142933999,6758.586983362677,3.2809956933338227,1.8113518966048048,-0.0972185294117647,0.8094975000000001,13.012259063404573,3.305299365136295,-0.4101390779229328,0.1807294683304622,0.0365853514286424,-5589.195,-0.1732275594222788
shift_15_min,4.407417360924486,0.3280000000000003,-60.0,-39.7979562432,103.94893000000002,353.2660874403205,410.9686080158999,6094.510630116155,3.021828000116911,1.7383405880657885,-0.0980384558823529,0.764330367647059,13.107617750984726,3.044211911228888,-0.2993586598869715,0.2445286835876133,0.0655961200420469,-5580.416999999998,-0.1730025672220532
shift_20_min,4.407417360924486,0.3280000000000003,-55.0,-35.314094901333334,92.41431,304.5811659228405,347.5127086814998,5300.336583199356,2.555240505011028,1.5985119658641995,-0.0991628676470588,0.6795169852941177,13.23804910274098,2.5741682124555543,-0.0994208400911498,0.3590654592138477,0.1391315708925946,-5689.922999999995,-0.1758006212303347
shift_25_min,4.407417360924486,0.3280000000000003,-50.0,-30.9441729088,79.22406000000004,245.0985472225196,279.39264884120007,4025.496433639839,2.0543577120676475,1.433303077533725,-0.100595294117647,0.5825298529411768,13.40364396776454,2.069575176601482,0.1154230315479121,0.4808494250128345,0.24855058643378,-5911.514999999999,-0.181405124348041
shift_30_min,4.407417360924486,0.3280000000000003,-45.0,-26.2894032064,67.44421000000004,171.00176453453923,219.9113602343,1728.12528359645,1.616995295840441,1.271611299037737,-0.1011538970588235,0.4959133088235297,13.468049760276893,1.6289730387725925,0.3034997010598116,0.5856959844724203,0.3700298614614604,-5858.391,-0.1800684700159441
shift_35_min,4.407417360924486,0.3280000000000003,-40.0,-21.63418521813333,58.859470000000016,110.31709533396176,173.7463359599,293.6560522813867,1.277546587940441,1.1302860646493176,-0.1016900735294117,0.4327902205882354,13.529779779167727,1.2870098959992593,0.4495280505547538,0.6648677119136389,0.4809419520554941,-5808.4469999999965,-0.1788078406006445
shift_40_min,4.407417360924486,0.3280000000000003,-35.0,-16.900029582933332,50.8042,94.52434145484769,116.81141631800004,110.10656740236315,0.8589074729264708,0.9267726112302148,-0.1020876470588235,0.373560294117647,13.575495600356382,0.865269750503704,0.6298197766949976,0.757029991415224,0.6378120026799614,-5501.684999999998,-0.1709790697143208
shift_45_min,4.407417360924486,0.3280000000000003,-30.0,-18.203760413866668,35.300839999999994,95.05891002042286,43.75119314800002,110.83003168193537,0.3216999496176472,0.5671859920851776,-0.0917972058823529,0.2595649999999999,12.376445414911233,0.3240829122074075,0.8612793418392339,0.8577491178568255,0.8705395678109125,-5054.384999999998,-0.1592923909955283
shift_50_min,4.407417360924486,0.3280000000000003,-25.0,-19.1610357632,34.71530999999999,110.46818391078818,32.06258972950005,161.90765067785503,0.2357543362463239,0.4855454008085381,-0.0822249264705882,0.2552596323529411,11.230816248050756,0.2375006646629633,0.8983296619933396,0.874200607375017,0.9104870265740626,-4724.568000000003,-0.1504619460798261
shift_55_min,4.407417360924486,0.3280000000000003,-20.0,-17.197347697066668,43.5946,129.1642295928163,77.3270679964,235.2956541142769,0.5685813823264706,0.7540433557339197,-0.0780623529411764,0.3205485294117647,10.723231918393996,0.5727930962696297,0.7550960104778681,0.8273486835563184,0.7578906125570716,-4573.373999999996,-0.1463516022029858
shift_60_min,4.407417360924486,0.3280000000000003,-15.0,-14.079621538133331,50.63409999999998,145.1075003366365,117.19486774640002,329.8324962661282,0.8617269687235296,0.9282925017059708,-0.0764851470588235,0.3723095588235293,10.529387697011371,0.868110131454815,0.6290673324658391,0.7675232945231283,0.6352163982478528,-4551.909000000003,-0.1457648305791012
shift_65_min,4.407417360924486,0.3280000000000003,-10.0,-10.619394414933334,59.22838999999998,158.59099358115284,157.7943808605,438.0335860871134,1.1602528004448531,1.077150314693754,-0.0765858088235293,0.4355028676470587,10.541784530878244,1.1688472656333335,0.5005487108837551,0.6998217854743138,0.5213592661604329,-4638.239999999998,-0.1481199038515888
shift_70_min,4.407417360924486,0.3280000000000003,-5.0,-6.9033069056,65.64164,169.00046851907734,201.382645438,561.8028088452525,1.480754745867647,1.2168626651630197,-0.0768604411764706,0.4826591176470587,10.575588960939498,1.4917232995407408,0.3625057357264233,0.6240143711553707,0.4116036757912799,-4617.029999999995,-0.1475425080721236
shift_75_min,4.407417360924486,0.3280000000000003,0.0,-2.9311163434666665,75.79774,183.18068412837928,257.2105700079998,743.8303607600151,1.8912541912352927,1.375228777780371,-0.0772891176470588,0.5573363235294118,10.628303612198746,1.9052634815407397,0.1856086029075986,0.5246285627311611,0.2899239134750679,-4602.449999999997,-0.1471451453563652
shift_80_min,4.407417360924486,0.3280000000000003,5.0,1.2788869418666666,90.21569000000004,202.56388268494888,328.6663271405,1003.356916978018,2.416664170150735,1.554562372550788,-0.0775534558823528,0.6633506617647063,10.66077850699755,2.4345653862259256,-0.0407695664720364,0.3956360432372897,0.1652205038834629,-4542.329999999998,-0.1455027166862385
shift_85_min,4.407417360924486,0.3280000000000003,10.0,5.489598901333333,100.20280999999996,222.7854370559045,387.14743620049984,1357.9054262919597,2.8466723250036754,1.687208441480683,-0.0779211029411764,0.7367853676470586,10.705906040363372,2.867758786670369,-0.2261932557031465,0.2891920987132123,0.0890539736391548,-4541.081999999995,-0.1454685553340089
shift_90_min,4.407417360924486,0.3280000000000003,15.0,9.828753802666666,107.00466,243.12512323681065,427.0193540795999,1829.2933904166991,3.139848191761764,1.7719616789766544,-0.0782582352941177,0.7867989705882352,10.747247935800392,3.1631063265155546,-0.3527204216951705,0.2163276889553638,0.050497865418778,-4524.476999999995,-0.1450137686056943
shift_95_min,4.407417360924486,0.3280000000000003,20.0,14.217740768,113.03414999999995,263.8891484678622,455.10028645649976,2397.8403736162736,3.346325635709557,1.8292964865514716,-0.0786625735294117,0.8311334558823527,10.796780699131292,3.3711132330111093,-0.4419924229874774,0.164861056854811,0.0298470896465959,-4525.592999999997,-0.1450443493911482
shift_100_min,4.407417360924486,0.3280000000000003,25.0,18.666928945066665,117.63151000000003,283.2834603290888,475.8303306564999,3029.207461447703,3.498752431297793,1.870495236908609,-0.0790978676470588,0.8649375735294121,10.850044243141706,3.5246691159740733,-0.5080391803031461,0.1267762373780581,0.0180544274431541,-4530.112499999996,-0.1451681709865541
shift_105_min,4.407417360924486,0.3280000000000003,30.0,23.17044574933333,121.54531000000004,300.3598207130683,492.4149049997,3543.5085485404543,3.6206978308801463,1.902813136090916,-0.07956125,0.8937155147058826,10.906674872966825,3.647517814812592,-0.5610064464727893,0.0962410001859515,0.0107352208156917,-4538.522999999997,-0.1453984995950422
shift_110_min,4.407417360924486,0.3280000000000003,35.0,27.705422314666663,125.09326,313.09042490662006,506.44545800719993,3861.873146122789,3.723863661817647,1.9297314999288493,-0.080063088235294,0.9198033823529412,10.967924156936103,3.7514478370903697,-0.6059404084777353,0.0703511845245695,0.0060147960986496,-4553.605499999998,-0.1458112358058884
shift_115_min,4.407417360924486,0.3280000000000003,40.0,32.259742807466665,127.77231000000003,322.69163749623897,518.9773020647002,4053.7743893207166,3.816009574005149,1.953460922057349,-0.0806127205882353,0.939502279411765,11.03491015168092,3.844276311590372,-0.6461946418190587,0.0471751569657196,0.0029427675945201,-4574.125499999998,-0.1463721307557504
